t_bin,time_s,power_w
256,64.0,3164.212455446143
257,64.25,2960.9975710440312
258,64.5,3171.4346307112373
259,64.75,3143.7758782923233
260,65.0,3003.324418843453
261,65.25,3010.5961658143287
262,65.5,3135.103832963394
263,65.75,3009.791768238276
264,66.0,2992.4557753552594
265,66.25,3004.598283307933
266,66.5,3076.5883378556596
267,66.75,3023.0606928459283
268,67.0,3014.968392719286
269,67.25,2722.796880288203
270,67.5,3191.759826893994
271,67.75,3102.167667638279
272,68.0,3031.0926034233503
273,68.25,3012.5865977375643
274,68.5,3128.4714884376717
275,68.75,3202.7061394710827
276,69.0,3190.5416643660847
277,69.25,3031.0867684092855
278,69.5,3177.6874017935893
279,69.75,3103.0161486405027
280,70.0,3116.4236269514718
281,70.25,3026.2216022444118
282,70.5,3220.61509289885
283,70.75,3016.001010728166
284,71.0,3022.271905268645
285,71.25,3132.259517423117
286,71.5,3042.440131149058
287,71.75,3003.6056780677472
288,72.0,2990.1231130603082
289,72.25,2946.182532628337
290,72.5,2998.628851601263
291,72.75,2557.335161875877
292,73.0,3025.8369200957627
293,73.25,3033.6515667617778
294,73.5,3054.4423803411482
295,73.75,3027.7023131586175
296,74.0,3007.9692970060432
297,74.25,3151.213294858807
298,74.5,3078.0267414003415
299,74.75,3125.88061842267
300,75.0,3190.0404969905894
301,75.25,3038.8140546676623
302,75.5,2966.551981374064
303,75.75,3065.989200538837
304,76.0,3057.424634524385
305,76.25,3103.8969089976526
306,76.5,3015.7868082693894
307,76.75,3153.744028882823
308,77.0,3131.874388924385
309,77.25,2986.2108563191105
310,77.5,2979.362862201308
311,77.75,3019.1291620153293
312,78.0,3079.9411444084535
313,78.25,3063.662403478447
314,78.5,3067.474729873485
315,78.75,3038.4892443676226
316,79.0,3115.4678353802556
317,79.25,3015.0325809244596
318,79.5,3018.020058984555
319,79.75,3130.1058042509553
320,80.0,3054.822048991014
321,80.25,2983.669393029281
322,80.5,3155.0538602108713
323,80.75,3046.348623964307
324,81.0,3069.9543677738834
325,81.25,3003.9841119039897
326,81.5,3021.4022163478785
327,81.75,3092.1251440446817
328,82.0,3028.651858853357
329,82.25,3022.4588191165662
330,82.5,3205.5472772325697
331,82.75,2977.434456627874
332,83.0,3035.049346310711
333,83.25,2943.901555487255
334,83.5,3035.2013235787754
335,83.75,3090.784840168478
336,84.0,3081.91119590982
337,84.25,3097.207557765028
338,84.5,3036.988214423569
339,84.75,3043.741896385975
340,85.0,2922.43257134801
341,85.25,3033.4145387892822
342,85.5,3138.6447596777057
343,85.75,2993.5071814278285
344,86.0,3011.2725409103527
345,86.25,2948.797940439871
346,86.5,3038.698050225254
347,86.75,2978.6878938489526
348,87.0,3015.5049369981584
349,87.25,3235.233040400319
350,87.5,3228.872040615381
351,87.75,3025.2252917292403
352,88.0,3064.600590481442
353,88.25,3269.9696890799205
354,88.5,2911.167046735605
355,88.75,3037.6129695907453
356,89.0,3027.3676322760894
357,89.25,3195.3778167648125
358,89.5,2960.222557699993
359,89.75,2958.6877044970156
360,90.0,3106.231035647256
361,90.25,2924.3033867540184
362,90.5,3030.1703063789737
363,90.75,3019.87607061332
364,91.0,3017.4859096851005
365,91.25,2957.636599983565
366,91.5,3129.2743270828637
367,91.75,3003.802700893137
368,92.0,3205.6257689206554
369,92.25,2810.8993574540177
370,92.5,3067.637257379497
371,92.75,2985.9716438379746
372,93.0,3004.524332244373
373,93.25,3128.38293937703
374,93.5,3044.972197022526
375,93.75,3045.0738338412466
376,94.0,3052.2820725496376
377,94.25,3050.9855053586107
378,94.5,3035.112942123748
379,94.75,3088.9947408188436
380,95.0,2914.097811403536
381,95.25,3020.302872206201
382,95.5,3066.1158880706225
383,95.75,3008.498037977678
384,96.0,3080.8108323917254
385,96.25,3062.926178055276
386,96.5,3036.959001962832
387,96.75,3069.203447911122
388,97.0,3058.5770426932377
389,97.25,3036.6851018418147
390,97.5,3076.1388582577674
391,97.75,3062.6621205463407
392,98.0,3117.297658656615
393,98.25,3091.3831012965497
394,98.5,3179.2959260413345
395,98.75,2988.5027152761236
396,99.0,3156.4776299351047
397,99.25,3015.743407123552
398,99.5,3068.728305212066
399,99.75,2997.5595548288993
400,100.0,3004.0510916841
401,100.25,3323.8032235791
402,100.5,2993.0616331005413
403,100.75,2816.21212720218
404,101.0,2944.9315610867307
405,101.25,3105.58158566
406,101.5,3063.1846182778118
407,101.75,3038.6387635515207
408,102.0,3035.8025056254287
409,102.25,3040.285368653642
410,102.5,3092.897184457832
411,102.75,3007.4404201449356
412,103.0,3043.739975319974
413,103.25,3045.7841973158224
414,103.5,3171.8252220584686
415,103.75,3085.433896982068
416,104.0,3145.501647985486
417,104.25,3070.0372801919616
418,104.5,3107.742209260002
419,104.75,3033.0010732155743
420,105.0,3086.9469126769227
421,105.25,3002.9866888948804
422,105.5,3100.878788665754
423,105.75,3020.2825068945
424,106.0,3000.1508890745495
425,106.25,3053.56331358092
426,106.5,3116.6361314871256
427,106.75,3138.180426174992
428,107.0,2940.083075029805
429,107.25,2971.3258616907087
430,107.5,3094.237733854634
431,107.75,3042.1623799505587
432,108.0,3032.228463388934
433,108.25,3008.2091688756545
434,108.5,3151.6022111444363
435,108.75,3077.636963752458
436,109.0,3035.9198592665016
437,109.25,2990.02665639648
438,109.5,2955.264178250814
439,109.75,3166.2413784757696
440,110.0,3082.867063345861
441,110.25,2862.983480641807
442,110.5,3122.1796826770665
443,110.75,3028.58831697728
444,111.0,2981.6744610292285
445,111.25,3192.95487564288
446,111.5,3031.7472513412304
447,111.75,2997.3789016250157
448,112.0,3004.9137811195733
449,112.25,3000.576681609091
450,112.5,3007.510907964995
451,112.75,3170.3195662453995
452,113.0,3103.269710761766
453,113.25,3011.5160461470387
454,113.5,3024.024903654941
455,113.75,3012.058378056471
456,114.0,3244.8257834448036
457,114.25,3062.50911406772
458,114.5,3022.186954070792
459,114.75,3107.146207415475
460,115.0,3030.6370140329723
461,115.25,2914.357096466862
462,115.5,3014.429727764504
463,115.75,3081.6025752622722
464,116.0,3082.6811099002794
465,116.25,3064.5293840890267
466,116.5,2982.915524511055
467,116.75,2982.195375552444
468,117.0,3078.862403843937
469,117.25,3044.911420067662
470,117.5,3044.630531736108
471,117.75,2984.7424370486597
472,118.0,3132.651110700355
473,118.25,3001.913435846824
474,118.5,2959.143609950403
475,118.75,3171.857015397091
476,119.0,3135.593910967803
