t_bin,time_s,power_w
227,56.75,2968.0680740669573
228,57.0,2911.917770710735
229,57.25,2956.29542826716
230,57.5,2946.358498751751
231,57.75,2942.8134224203313
232,58.0,2972.1659572467424
233,58.25,2986.7248167169423
234,58.5,2960.447232339716
235,58.75,2943.256348176467
236,59.0,2891.957943562494
237,59.25,2987.9589436080605
238,59.5,2942.6244141004204
239,59.75,2902.908092371511
240,60.0,2954.4388529567914
241,60.25,3045.4374717462442
242,60.5,2946.775465007779
243,60.75,2920.482461489623
244,61.0,3008.200519154888
245,61.25,3027.241283815248
246,61.5,2959.372013937997
247,61.75,2976.6085349760233
248,62.0,2895.0293504073193
249,62.25,2948.853461266604
250,62.5,2946.4502594349206
251,62.75,3008.7734834654343
252,63.0,3001.6333827987323
253,63.25,3001.9064079066006
254,63.5,2915.1665709246045
255,63.75,2996.037031429717
256,64.0,2945.5816903711057
257,64.25,3019.874978421849
258,64.5,2945.8065879145984
259,64.75,3002.3167929013953
260,65.0,2963.5524747678733
261,65.25,2967.317439247688
262,65.5,3044.2130228416645
263,65.75,2967.225183843011
264,66.0,2937.6045117335984
265,66.25,2911.358660490841
266,66.5,2960.203429250428
267,66.75,2929.73098162135
268,67.0,2984.825805961895
269,67.25,2931.3423707056563
270,67.5,2893.8797175710456
271,67.75,2952.110106467172
272,68.0,2978.5724110933756
273,68.25,2945.7301854357256
274,68.5,2955.731658771857
275,68.75,3017.6533872690766
276,69.0,2995.2652122357367
277,69.25,2958.780004098875
278,69.5,2949.9735830651916
279,69.75,2935.198479099833
280,70.0,2908.8341819416614
281,70.25,3045.1752417099647
282,70.5,2980.496049034033
283,70.75,2993.240999398491
284,71.0,2966.619920185486
285,71.25,2959.3617578858766
286,71.5,3005.809504070949
287,71.75,3007.293037371114
288,72.0,3030.754158452548
289,72.25,2987.6538955675646
290,72.5,2937.5448014086446
291,72.75,3012.461689774
292,73.0,3013.9984490927254
293,73.25,3009.525935694752
294,73.5,3018.951672834614
295,73.75,3025.835325559228
296,74.0,2994.4984608582954
297,74.25,3016.026876142817
298,74.5,3002.5479164587186
299,74.75,3047.3296580526203
300,75.0,2983.2283220481545
301,75.25,2944.8977593595873
302,75.5,2968.903105667871
303,75.75,2943.625167120255
304,76.0,2942.3989134399167
305,76.25,2651.05980030461
306,76.5,2019.6249689358608
307,76.75,1822.7945633231636
308,77.0,2323.0761498353495
309,77.25,2320.5466698792916
310,77.5,2913.498805725852
311,77.75,2958.169831905742
312,78.0,2939.2188577449792
313,78.25,2959.16301400415
314,78.5,2973.375178140028
315,78.75,3022.045949824277
316,79.0,2921.02315384534
317,79.25,2959.668234579274
318,79.5,2910.365776758104
319,79.75,2931.815005151314
320,80.0,2994.395710884761
321,80.25,2951.6963772830622
322,80.5,2991.5924791514617
323,80.75,2946.994466931869
324,81.0,2951.923272673391
325,81.25,2923.072904120337
326,81.5,2975.936650424987
327,81.75,2946.684850450656
328,82.0,2967.8776669405756
329,82.25,2963.0673660940142
330,82.5,2965.6625126173954
331,82.75,2960.3889824736607
332,83.0,3014.3045224199345
333,83.25,2952.113909451762
334,83.5,3000.0440536242872
335,83.75,2897.723255038972
336,84.0,2964.8485507733617
337,84.25,3005.7622146966446
338,84.5,2980.1576533773336
339,84.75,3012.4439429836457
340,85.0,2965.080446200863
341,85.25,2928.0743413494083
342,85.5,2927.5263429806373
343,85.75,2972.0034224087035
344,86.0,2961.7193259867972
345,86.25,2948.7850272590267
346,86.5,2972.0932245471668
347,86.75,2930.6931529262997
348,87.0,2966.5805344743076
349,87.25,3009.950640612673
350,87.5,3019.611254729727
351,87.75,2983.727697466955
352,88.0,2949.7912784613327
353,88.25,3046.4445304660458
354,88.5,3045.4364477041595
355,88.75,2934.011163167406
356,89.0,3013.060645709484
357,89.25,2921.78114521958
358,89.5,2736.076921005256
359,89.75,2445.8784619185467
360,90.0,1688.1392346972953
361,90.25,1340.3240480471356
362,90.5,1357.2029689192018
363,90.75,1158.8246397723522
364,91.0,1653.747356474857
365,91.25,2376.871829202896
366,91.5,2720.036567365633
367,91.75,2981.242754701004
368,92.0,3008.4100459849965
369,92.25,2952.642119283025
370,92.5,2963.1499209217504
371,92.75,3035.2644431589365
372,93.0,2982.06396276652
373,93.25,2915.844723297858
374,93.5,2901.627489365668
375,93.75,3013.5665493536644
376,94.0,2952.3685440835034
377,94.25,2925.979649542398
378,94.5,2388.998127213357
379,94.75,2432.3504623450913
380,95.0,1668.4453824931552
381,95.25,1439.0926380595272
382,95.5,949.1798413672657
383,95.75,1180.4650857040415
384,96.0,2248.969407178315
385,96.25,2859.4002636122855
386,96.5,2925.0138469779617
387,96.75,2958.8813501121276
388,97.0,2983.9666991789554
389,97.25,3007.1595598707117
390,97.5,2970.688432171995
391,97.75,3042.159430283412
392,98.0,2992.075921696782
393,98.25,2947.2516650203343
394,98.5,3042.7253628949807
395,98.75,2928.9616938959234
396,99.0,2952.0062820953244
397,99.25,2905.6106845292516
398,99.5,3253.7502528090304
399,99.75,2950.1811682256603
400,100.0,3028.8435644451492
401,100.25,2914.9235405053055
402,100.5,2170.9501298685464
403,100.75,2232.905678769867
404,101.0,1571.1028105795247
405,101.25,2665.7294186556915
406,101.5,966.2381628284671
407,101.75,966.7120881157714
408,102.0,863.4091503067167
409,102.25,2216.0474041745624
410,102.5,2759.259451869276
411,102.75,2752.1058918089625
412,103.0,2962.5185192860604
