config_id,status,reason,n_mix,seed,device,best_epoch,best_val_nll,final_train_nll,final_val_nll,final_mean_sigma,final_mean_alpha,num_train_traces,num_val_traces,num_test_traces,checkpoint_path,curve_path,norm_params_path
deepseek-r1-distill-8b_H100_tp4,trained,,1,42,cuda,133,-0.8944732844829559,-1.0769113659858705,-0.7429846748709679,0.11743752714246511,0.1557541683316231,20,4,5,results/continuous_v1/checkpoints/deepseek-r1-distill-8b_H100_tp4_mix1_best.pt,results/continuous_v1/training_curves/deepseek-r1-distill-8b_H100_tp4_mix1.csv,results/continuous_v1/norm_params/deepseek-r1-distill-8b_H100_tp4.json
deepseek-r1-distill-8b_H100_tp8,trained,,1,42,cuda,482,-1.169502705335617,-1.3782452231361753,-1.1676982194185257,0.10358518024995214,0.07335062697529793,21,4,5,results/continuous_v1/checkpoints/deepseek-r1-distill-8b_H100_tp8_mix1_best.pt,results/continuous_v1/training_curves/deepseek-r1-distill-8b_H100_tp8_mix1.csv,results/continuous_v1/norm_params/deepseek-r1-distill-8b_H100_tp8.json
llama-3-405b_H100_tp8,trained,,1,42,cuda,164,-1.1423224359750748,-1.3237280292170388,-1.0862548127770424,0.0931718603131317,0.0404750339332081,21,4,5,results/continuous_v1/checkpoints/llama-3-405b_H100_tp8_mix1_best.pt,results/continuous_v1/training_curves/llama-3-405b_H100_tp8_mix1.csv,results/continuous_v1/norm_params/llama-3-405b_H100_tp8.json
llama-3-70b_A100_tp4,trained,,1,42,cuda,267,-0.368743984028697,-0.37555795978932155,-0.3452652730047703,0.2488668837717601,0.594704786936442,21,4,5,results/continuous_v1/checkpoints/llama-3-70b_A100_tp4_mix1_best.pt,results/continuous_v1/training_curves/llama-3-70b_A100_tp4_mix1.csv,results/continuous_v1/norm_params/llama-3-70b_A100_tp4.json
llama-3-70b_A100_tp8,trained,,1,42,cuda,396,-0.7400310523808002,-0.701156943644348,-0.7317735366523266,0.2122008239752368,0.3453048926435019,19,4,4,results/continuous_v1/checkpoints/llama-3-70b_A100_tp8_mix1_best.pt,results/continuous_v1/training_curves/llama-3-70b_A100_tp8_mix1.csv,results/continuous_v1/norm_params/llama-3-70b_A100_tp8.json
llama-3-70b_H100_tp4,trained,,1,42,cuda,140,-1.1465559601783752,-1.2199739784002304,-1.0079583376646042,0.09364636838436127,0.027705229865387083,20,4,5,results/continuous_v1/checkpoints/llama-3-70b_H100_tp4_mix1_best.pt,results/continuous_v1/training_curves/llama-3-70b_H100_tp4_mix1.csv,results/continuous_v1/norm_params/llama-3-70b_H100_tp4.json
llama-3-70b_H100_tp8,trained,,1,42,cuda,344,-2.050640195608139,-2.1629503786563875,-1.7580240070819855,0.06340963318943978,0.044053946435451505,20,4,5,results/continuous_v1/checkpoints/llama-3-70b_H100_tp8_mix1_best.pt,results/continuous_v1/training_curves/llama-3-70b_H100_tp8_mix1.csv,results/continuous_v1/norm_params/llama-3-70b_H100_tp8.json
llama-3-8b_H100_tp1,trained,,1,42,cuda,78,-0.6075339987874031,-0.6159271228881109,-0.20891961455345154,0.16138158454781487,0.15737423158827282,21,4,5,results/continuous_v1/checkpoints/llama-3-8b_H100_tp1_mix1_best.pt,results/continuous_v1/training_curves/llama-3-8b_H100_tp1_mix1.csv,results/continuous_v1/norm_params/llama-3-8b_H100_tp1.json
llama-3-8b_H100_tp2,trained,,1,42,cuda,103,-0.28650365956127644,-0.9205832242965698,-0.25323597341775894,0.13099791370332242,0.16606865152716638,20,4,5,results/continuous_v1/checkpoints/llama-3-8b_H100_tp2_mix1_best.pt,results/continuous_v1/training_curves/llama-3-8b_H100_tp2_mix1.csv,results/continuous_v1/norm_params/llama-3-8b_H100_tp2.json
llama-3-8b_H100_tp4,trained,,1,42,cuda,206,-0.9991603046655655,-0.9961257846582503,-0.9044380784034729,0.12440610712482816,0.10661257484129497,21,4,5,results/continuous_v1/checkpoints/llama-3-8b_H100_tp4_mix1_best.pt,results/continuous_v1/training_curves/llama-3-8b_H100_tp4_mix1.csv,results/continuous_v1/norm_params/llama-3-8b_H100_tp4.json
llama-3-8b_H100_tp8,trained,,1,42,cuda,392,-1.1876461654901505,-1.4983154010205042,-1.181018054485321,0.1170978888514496,0.07736848685003463,21,4,5,results/continuous_v1/checkpoints/llama-3-8b_H100_tp8_mix1_best.pt,results/continuous_v1/training_curves/llama-3-8b_H100_tp8_mix1.csv,results/continuous_v1/norm_params/llama-3-8b_H100_tp8.json
