timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_perc,prompt_tokens_total,generation_tokens_total,iteration_tokens_total_sum,iteration_tokens_total_count,request_prefill_time_seconds_sum,request_decode_time_seconds_sum,num_preemptions_total,prefix_cache_queries_total,prefix_cache_hits_total
1784422679.182965,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422679.436543,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422679.690002,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422679.9434972,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422680.196917,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422680.450349,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422680.7035506,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422680.9566302,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422681.2096093,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422681.4626377,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422681.7156188,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422681.9690294,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422682.2224162,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422682.4761214,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422682.7297459,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422682.9834533,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422683.2388296,0.0,0.0,3.994567388354575e-05,1.0,1.0,2.0,1.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422683.4924946,1.0,0.0,0.0019573380202924096,760.0,8.0,768.0,8.0,0.09452945180237293,0.0,0.0,0.0,0.0
1784422683.7466376,0.0,0.0,3.994567388354575e-05,1519.0,33.0,1552.0,33.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422684.0004408,0.0,0.0,3.994567388354575e-05,1519.0,33.0,1552.0,33.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422684.2540684,0.0,0.0,3.994567388354575e-05,1519.0,33.0,1552.0,33.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422684.5075366,1.0,0.0,0.00019972836941761773,1553.0,62.0,1615.0,62.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
