timestamp_s,tokens_in
1725.0,226518.0000000043
1740.0,255014.9999999979
1755.0,266858.99999999884
1770.0,228855.99999999782
1785.0,227389.00000000247
1800.0,264008.99999999994
1815.0,224833.0000000006
1830.0,253717.99999999948
1845.0,252833.0000000003
1860.0,228550.99999999872
1875.0,238966.00000000105
1890.0,220581.9999999989
1905.0,222890.00000000122
1920.0,252235.99999999965
1935.0,231276.00000000017
1950.0,205805.99999999907
1965.0,193435.99999999703
1980.0,229041.0000000054
1995.0,211329.99999999878
2010.0,228040.00000000105
2025.0,286737.9999999988
2040.0,243074.99999999895
2055.0,241498.00000000081
2070.0,246808.00000000122
2085.0,230776.9999999982
2100.0,255960.99999999953
2115.0,285058.00000000093
2130.0,222871.00000000006
2145.0,245963.0000000004
2160.0,241432.99999999942
2175.0,239018.00000000006
2190.0,242345.99999999983
2205.0,240165.00000000116
2220.0,243015.99999999965
2235.0,264890.999999995
2250.0,238080.0
2265.0,196852.0000000054
2280.0,249981.9999999996
2295.0,222883.00000000105
2310.0,240858.99999999744
2325.0,253046.0000000025
2340.0,231123.9999999975
2355.0,259139.00000000076
2370.0,222900.99999999866
2385.0,230192.99999999994
2400.0,239000.00000000134
2415.0,250639.9999999986
2430.0,245298.00000000413
2445.0,248240.99999999144
2460.0,223172.00000000326
2475.0,200809.00000000268
2490.0,261111.99999999988
2505.0,247258.00000000536
2520.0,262755.9999999931
2535.0,240432.00000000786
2550.0,243342.99999999505
2565.0,250233.9999999936
2580.0,266021.0000000062
2595.0,245287.99999999825
2610.0,204089.00000000122
2625.0,265667.99999999936
2640.0,215525.00000000012
2655.0,222333.00000000157
2670.0,238704.99999999563
2685.0,252950.000000001
2700.0,218317.99999999919
2715.0,264712.0000000046
2730.0,263009.000000001
2745.0,235761.99999999872
2760.0,244539.99999999796
2775.0,261606.0000000007
2790.0,262697.99999999907
2805.0,243377.99999999936
2820.0,261539.9999999997
2835.0,251515.9999999971
2850.0,254341.00000000506
2865.0,247593.99999999942
2880.0,247381.00000000017
2895.0,236086.99999999837
2910.0,282218.00000000163
2925.0,295730.0000000002
2940.0,259326.99999999854
2955.0,239035.99999999854
2970.0,250029.00000000227
2985.0,232608.0000000007
3000.0,222923.99999999878
3015.0,227386.00000000017
3030.0,225961.00000000827
3045.0,231534.99999999325
3060.0,220427.99999999575
3075.0,229218.00000000332
