t_bin,time_s,power_w
291,72.75,518.3441185980812
292,73.0,518.0268092816855
293,73.25,519.5881434641612
294,73.5,550.5768174087492
295,73.75,515.3444455054622
296,74.0,518.321156878939
297,74.25,514.6026684102994
298,74.5,516.137027129332
299,74.75,515.6174839777159
300,75.0,515.7317125788236
301,75.25,514.4453091171225
302,75.5,516.8487569988475
303,75.75,641.7965353293789
304,76.0,517.827951221094
305,76.25,1045.0109102657732
306,76.5,1153.4803107854307
307,76.75,1168.180125436032
308,77.0,1160.6998238581536
309,77.25,1164.966156076802
310,77.5,632.0877564572563
311,77.75,639.3848602015829
312,78.0,633.6590900609592
313,78.25,639.4055398453356
314,78.5,638.8286050750767
315,78.75,633.730719958955
316,79.0,638.7502430796723
317,79.25,642.5407978725951
318,79.5,517.9265276103374
319,79.75,518.0569593974636
320,80.0,515.966122965795
321,80.25,516.2311102123042
322,80.5,515.609052629222
323,80.75,517.3999024993398
324,81.0,518.9213326057703
325,81.25,517.8373950179911
326,81.5,517.2090355805584
327,81.75,515.602072053519
328,82.0,517.851675610049
329,82.25,516.8707643738738
330,82.5,514.474514824546
331,82.75,514.7283787452769
332,83.0,942.6247647031946
333,83.25,868.8521714269635
334,83.5,644.4563661200647
335,83.75,638.2398524780701
336,84.0,634.1146855228908
337,84.25,636.2307328652241
338,84.5,644.2324720510713
339,84.75,634.4644623307756
340,85.0,641.0723875996722
341,85.25,517.8475343382958
342,85.5,519.3292559609412
343,85.75,517.9818195992559
344,86.0,516.6405493568041
345,86.25,517.9770651415713
346,86.5,517.3154892393261
347,86.75,518.6204924722597
348,87.0,517.1319735522193
349,87.25,520.0652890794605
350,87.5,517.0769784017713
351,87.75,653.7915033662008
352,88.0,516.2813376650779
353,88.25,1005.5311516491421
354,88.5,1156.8047159602613
355,88.75,1157.9724713163723
356,89.0,1163.9192493243281
357,89.25,1152.2276404275879
358,89.5,1196.1377191478277
359,89.75,1261.3465947250559
360,90.0,1330.3408407061138
361,90.25,1202.1029737870388
362,90.5,1262.9019611982471
363,90.75,1250.372769517983
364,91.0,1135.1180247112134
365,91.25,1211.8705568503588
366,91.5,1163.0143526254644
367,91.75,1163.41980282569
368,92.0,1152.4682114112559
369,92.25,1169.358512614882
370,92.5,1150.2079513185176
371,92.75,1154.7764165186222
372,93.0,1157.703485429965
373,93.25,1156.6241098172902
374,93.5,1163.2275119516714
375,93.75,1164.9746569438282
376,94.0,638.0119866064407
377,94.25,716.7536325993735
378,94.5,582.0005506884798
379,94.75,637.3697862666028
380,95.0,737.6924415972306
381,95.25,638.569505670798
382,95.5,1165.3897866085995
383,95.75,1153.2171777078934
