timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_perc,prompt_tokens_total,generation_tokens_total,iteration_tokens_total_sum,iteration_tokens_total_count,request_prefill_time_seconds_sum,request_decode_time_seconds_sum,num_preemptions_total,prefix_cache_queries_total,prefix_cache_hits_total,nixl_xfer_time_seconds_sum,nixl_xfer_time_seconds_count,nixl_post_time_seconds_sum,nixl_post_time_seconds_count,nixl_bytes_transferred_sum,nixl_bytes_transferred_count,nixl_num_descriptors_sum,nixl_num_descriptors_count,nixl_num_failed_transfers,nixl_num_failed_notifications,nixl_num_kv_expired_reqs
1785000081.6062753,0.0,0.0,0.0,23488.0,3.0,23491.0,3.0,2.711648540571332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000081.8563855,0.0,0.0,0.0,23488.0,3.0,23491.0,3.0,2.711648540571332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000082.106501,0.0,0.0,0.0,23488.0,3.0,23491.0,3.0,2.711648540571332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000082.3566132,1.0,0.0,0.0034250635612756986,23488.0,3.0,23491.0,3.0,2.711648540571332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000082.6067333,0.0,0.0,0.0030627972230637956,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000082.856824,0.0,0.0,0.0,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000083.10691,0.0,0.0,0.0,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000083.3570082,0.0,0.0,0.0,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000083.6070898,0.0,0.0,0.0,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000083.8571541,0.0,0.0,0.0,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000084.1072195,0.0,0.0,0.0,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000084.3572845,0.0,0.0,0.0,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000084.6073637,0.0,0.0,0.0,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000084.857442,0.0,0.0,0.0,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000085.1075218,0.0,0.0,0.0,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000085.3576038,0.0,0.0,0.0,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785000085.6076872,0.0,0.0,0.0,30770.0,4.0,30774.0,4.0,3.2039099652320147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
