dense_time_s,dense_measured_w_per_gpu,dense_predicted_w_per_gpu,moe_time_s,moe_measured_w_per_gpu,moe_predicted_w_per_gpu
169,403.35,373.5998309351272,169,300.76,239.60075292215151
170,354.42,350.7794095964353,170,283.81125,227.43261981380783
171,375.8025,369.3596862232772,171,285.86,240.77492232605255
172,363.31499999999994,349.87375415855456,172,288.13125,244.04146280516034
173,335.245,349.826156823834,173,338.6125,273.759690879735
174,336.90500000000003,340.10187088551197,174,380.11875,271.81519391918846
175,338.71250000000003,338.57982402966707,175,347.2637500000001,266.63096888105974
176,335.4875,337.7468216901897,176,352.68874999999997,279.24665978146004
177,357.7725,342.39835665940694,177,375.3425,288.96675533890084
178,340.5125,341.6065617462654,178,366.96500000000003,268.9327003861381
179,375.96000000000004,350.0140709010476,179,311.0,234.3277670053376
180,330.195,336.8118955659867,180,296.735,233.92545408712067
181,339.45500000000004,343.0801393256233,181,294.31125,235.97153302772676
182,339.315,338.95748836573813,182,349.51374999999996,256.3417240866693
183,336.595,351.4070753739079,183,364.22625000000005,289.60342500177103
184,371.06999999999994,362.4860870892509,184,379.22,314.2618643193782
185,336.23249999999996,342.565394504168,185,371.31500000000005,281.4074278846456
186,331.9425,341.340399250972,186,380.44875,295.2423065794774
187,338.2025,340.36915188205563,187,382.4237499999999,299.2248783794457
188,421.62749999999994,372.90544140935515,188,386.60249999999996,305.00769484183365
189,331.64,336.76467992188,189,377.1575,273.1704497133487
190,324.24,335.91655761237826,190,381.04749999999996,263.15291379407427
191,402.14750000000004,356.87312681301086,191,370.69375,281.52412210020157
192,366.98999999999995,358.3016329918389,192,330.40375,265.94239677372207
193,334.5825,340.5223943644268,193,325.11125,240.8215633093114
194,371.50249999999994,365.4121579010434,194,296.2125,198.2181276636802
195,254.7975,358.3047048680401,195,286.57624999999996,214.34304919743045
196,331.41499999999996,365.1221193383071,196,292.97625,244.4344135028059
197,407.1725,365.3679677953161,197,320.27,260.76606144700236
198,325.3075,348.85154566986495,198,326.15125,268.36257091793595
199,332.9175,351.6677845159005,199,328.35499999999996,261.4889509707755
200,328.6925,352.49018716900855,200,314.09875,246.12007609650937
201,322.5075,355.2020804014019,201,310.1275,223.98031242769866
202,322.36249999999995,349.1666398886868,202,259.9825,161.82032537007763
203,384.8525,361.32103275519364,203,180.26125000000002,153.48429778025093
204,346.46250000000003,367.42552030520665,204,246.455,217.5754069742543
205,413.05499999999995,360.6046255347294,205,252.40125,214.6785182306994
206,326.45,344.6240057738337,206,283.08750000000003,208.41574237388886
207,330.26,348.53376236822567,207,190.46375,162.97066042978258
208,319.045,343.37373112824184,208,263.26875,229.54420394980116
209,337.7475,340.0327180940124,209,331.31000000000006,273.45374635432745
210,340.21500000000003,339.79571550155293,210,309.01875000000007,228.88844358654023
211,343.91499999999996,346.3365895603839,211,281.35625000000005,220.29150129391928
212,381.84999999999997,347.40499849506506,212,301.22125,240.68883955601086
213,339.91999999999996,346.76278593487586,213,263.935,219.68644653099363
214,336.97,344.4226268945453,214,275.32125,218.7674983445886
215,374.6775,359.8084171233619,215,311.1625,259.098896970394
216,390.89,350.9759952791056,216,334.21,280.1529896926804
217,333.9725,339.2603779440406,217,369.84,293.6190540590378
218,370.4675,344.99667641925527,218,341.64750000000004,278.8692217271855
219,356.7725,359.29655163578786,219,363.0849999999999,277.8342410598325
220,339.8425,339.2910120304614,220,352.56875,234.6846817266687
221,338.85,351.30541470684557,221,273.83,152.09669705283886
222,352.23749999999995,341.4890146846833,222,280.63125,229.0088992951005
223,339.61999999999995,351.1172348428181,223,334.68125,271.23784438347866
224,337.8975,355.18913177813556,224,323.73875,261.3025720606365
225,340.285,341.40629706882396,225,289.4425,235.5228251026765
226,337.565,349.0075140452179,226,281.26125,213.05787466919355
227,337.4375,342.47453279022784,227,250.53750000000002,202.58110378285164
228,380.08500000000004,349.89105236423393,228,220.13875,172.53877619800005
229,330.8725,336.8473377865601,229,301.62625,243.69130967047568
230,374.23249999999996,353.0903663392042,230,312.1825,242.57629319856642
231,380.1625,355.4675936136908,231,305.2975,250.90580022458926
232,336.61,339.34473809144146,232,329.675,272.27964884173525
233,349.195,351.1645889337288,233,357.065,272.87995346953903
234,356.9,346.92488981088206,234,308.98249999999996,231.08933038014584
235,370.3825,357.483698578577,235,282.52,234.48368096663944
236,336.305,342.3726694307792,236,266.09375,206.99410676888328
237,351.74,343.26225560374587,237,253.98375,211.11847437240067
238,333.2825,337.421613040513,238,257.4875,223.86179997665567
239,327.1125,353.0665212144466,239,318.16375,259.8565599102949
240,339.6775,348.2056357275901,240,355.64875,282.31430467545397
241,334.27750000000003,342.7241799423749,241,381.0575,310.15315319754154
242,340.385,355.3483609739344,242,370.2975,312.3007107551839
243,340.15999999999997,346.7943095479515,243,379.515,315.23233267076466
244,339.7475,344.87951922850084,244,390.76625,309.5507278263558
245,375.95,358.5671236981454,245,383.31874999999997,311.46932695762916
246,387.89,357.3886914404256,246,383.53375,284.87619163270756
247,339.06500000000005,340.44945119120376,247,354.68125,212.82745000304385
248,371.93250000000006,346.0271545175414,248,264.6575,181.2122791921356
249,340.0725,343.48497193585195,249,279.595,229.87735756960683
250,358.605,354.033059616927,250,282.70750000000004,236.27755580067424
251,339.8525,346.96516900602796,251,306.03625,243.3147938157599
252,340.26250000000005,342.1437598916887,252,281.40999999999997,222.68087645546984
253,336.785,343.87775794641345,253,242.4625,202.99637689572774
254,334.22249999999997,347.87308499767335,254,298.5525,245.5819320321425
255,337.1625,340.6822226297476,255,365.335,302.25642450706437
256,339.79499999999996,339.5285558664952,256,375.50874999999996,309.2226899781417
257,334.9575,338.0760194890938,257,372.9075,299.6392563141944
258,326.4125,335.3744730966768,258,379.3075,317.20347567745193
259,323.9075,333.8322107435928,259,400.47624999999994,327.25180938499216
260,322.1675,333.8589461992401,260,386.25625,296.7311645628615
261,322.9125,333.8856137494779,261,365.1625,263.0630718172288
262,323.6675,333.91220472082546,262,319.56,222.04110619479616
263,322.9175,333.93872924280583,263,259.04125,202.13259940701573
264,323.4275,333.3326804491067,264,254.25125,216.1026856405624
265,321.46750000000003,331.93735151367105,265,311.61625000000004,260.811668492257
266,320.79249999999996,331.553495900001,266,346.45500000000004,285.3350799197033
267,321.9975,331.56095663710266,267,346.27125,284.0450427992946
268,323.265,331.5684123644776,268,348.6375,274.280029593323
269,321.76750000000004,331.57586340212464,269,333.31875,251.5875918467791
270,323.12,331.5833084472931,270,313.52750000000003,243.8571119169319
271,321.10249999999996,331.59074853744596,271,332.27125,264.5504475859161
,,,272,354.89124999999996,281.8474088395087
,,,273,376.37125000000003,291.7590967044853
,,,274,387.24125000000004,291.07141493921154
,,,275,385.2975,282.7961333987114
,,,276,378.4675,264.969084286673
,,,277,348.27625,267.39813737680015
,,,278,331.23875,264.9071613336455
,,,279,306.66375000000005,225.51996776489977
,,,280,328.03999999999996,256.38983553098296
,,,281,343.00625,267.40025834284097
,,,282,325.77375,243.3916247335328
,,,283,325.61375,266.61658287915634
,,,284,308.83124999999995,229.96614909936034
,,,285,254.67375,171.0406693344048
,,,286,160.9725,128.64178871798504
,,,287,146.60250000000002,141.08367291084141
,,,288,273.79375,233.32492659503623
,,,289,298.11625000000004,246.46955795946633
,,,290,312.0525,252.2487289048113
,,,291,296.27750000000003,213.86977480275527
,,,292,214.35125000000002,169.4819615897468
,,,293,302.32375,264.96283861185293
,,,294,354.84625,298.8079440568763
,,,295,350.10625,291.31223321606376
,,,296,351.13374999999996,277.85780852974494
,,,297,331.1175,261.9547875444223
,,,298,305.75250000000005,243.7999977899126
,,,299,300.76750000000004,256.28168089403334
,,,300,372.89125,308.28865702054827
,,,301,394.85375,320.68426340548103
,,,302,385.8025,310.3543210016578
,,,303,391.32124999999996,318.69925894498374
,,,304,383.31500000000005,311.8619424465651
,,,305,369.815,291.8751848139909
,,,306,360.99875,264.1962397985408
,,,307,372.6825,262.0313137082958
,,,308,369.16625,260.33997872728287
,,,309,329.01125,256.0404079647269
,,,310,330.59625000000005,255.9732026135789
,,,311,325.635,249.17170014422663
,,,312,315.12125,257.0291830105016
,,,313,357.14125,288.8661197407273
,,,314,355.69375,270.57117327499145
,,,315,299.40749999999997,230.73915688763736
,,,316,257.99,218.23294094623998
,,,317,317.09375,247.2013740825205
,,,318,332.115,262.9470533468775
,,,319,292.78375,237.57951791766027
,,,320,265.305,192.2879269515288
