stratum_0_time_s,stratum_0_measured_w_per_gpu,stratum_0_predicted_w_per_gpu,stratum_1_time_s,stratum_1_measured_w_per_gpu,stratum_1_predicted_w_per_gpu,stratum_2_time_s,stratum_2_measured_w_per_gpu,stratum_2_predicted_w_per_gpu
32,323.545,304.3843967065716,32,85.2175,85.36,32,448.63,344.7637287960102
33,196.04749999999999,142.23898820997533,33,85.22,85.36,33,248.925,309.09563539347727
34,88.42,87.32594453600275,34,85.10249999999999,85.36,34,297.77750000000003,308.9006399097915
35,240.38,304.3253789763165,35,85.10249999999999,85.36,35,299.6725,308.6908774444505
36,294.8175,302.4877039328625,36,85.36,85.36,36,299.8225,307.0421102034761
37,292.835,265.8799455551523,37,85.31,85.36,37,303.62,309.8601329383672
38,90.27,87.08579057324494,38,85.22,85.36,38,282.135,309.73949065580496
39,140.055,178.36466937639932,39,85.28999999999999,85.36,39,302.7875,306.4526341310773
40,87.94500000000001,84.99,40,85.2625,85.36,40,283.3425,308.82681308380455
41,87.345,86.67688375936999,41,85.28999999999999,85.36,41,268.4075,272.4529367970738
42,235.5,307.1401481828409,42,85.22,85.36,42,120.40499999999999,113.86628821968341
43,282.135,302.8512791141999,43,85.0675,85.36,43,89.8425,114.22839874347724
44,289.9625,305.8773030348136,44,84.75,85.36,44,93.58,114.3581989123375
45,294.5225,300.5216946941489,45,84.8325,85.36,45,94.63,114.80201900297428
46,295.72,302.20164012622297,46,84.77250000000001,85.36,46,89.03625000000001,107.29525567738901
47,195.52249999999998,176.15689830656643,47,84.75,85.36,47,89.30250000000001,113.8381844569289
48,334.9275,308.6544189806701,48,84.75,85.36,48,89.565,114.65032704752728
49,300.1925,304.58096338451134,49,84.77250000000001,85.36,49,88.55999999999999,113.71965546289914
50,300.05,294.2007518458951,50,84.8925,85.36,50,88.25,113.60507945803101
51,90.0175,84.99,51,84.75,85.36,51,88.17999999999999,116.11010177634375
52,88.35249999999999,84.99,52,84.69250000000001,85.36,52,133.0925,113.62232042626056
53,87.95,86.54393917762138,53,84.75,85.36,53,88.11,114.00941198548853
54,306.02250000000004,307.0041140214927,54,84.77250000000001,85.36,54,91.5875,107.18475573631369
55,138.5575,113.73979987131318,55,84.855,85.36,55,97.61500000000001,113.90436267759405
56,234.59500000000003,310.599658141068,56,84.7725,85.36,56,87.715,114.1115144069519
57,285.62750000000005,307.0545153988445,57,84.77250000000001,85.36,57,87.56250000000001,107.544906764948
58,191.035,180.0158171718022,58,84.77250000000001,85.36,58,104.6175,118.17823163152957
59,285.7075,304.41750205600033,59,84.75,85.36,59,88.0275,107.68296323201047
60,213.795,157.46659113802994,60,84.75,85.36,60,87.44999999999999,113.90251747390342
61,313.85249999999996,307.4642300493987,61,84.75,85.36,61,87.33749999999999,114.3382332033579
62,319.985,302.6934991398208,62,84.8325,85.36,62,87.55499999999999,108.16193349042311
63,301.03,304.2377972457535,63,84.75,85.36,63,90.60499999999999,114.55122100737582
64,198.16500000000002,170.5872026060492,64,84.77250000000001,85.36,64,88.28249999999998,114.19721247093793
65,328.3925,307.27335103042753,65,84.8325,85.36,65,88.8375,107.10063424907877
66,290.33500000000004,301.90140605513056,66,84.75,85.36,66,87.94749999999999,113.59693685651078
67,296.25,298.6357829049043,67,84.8325,85.36,67,87.265,114.31829543414719
68,194.7625,170.31075672916097,68,84.9975,85.36,68,88.10999999999999,113.70345001743868
69,248.39,307.4389230258859,69,84.8175,85.36,69,108.01499999999999,107.59453429406987
70,245.05749999999998,253.5267409170196,70,84.75,85.36,70,137.245,114.08156584598026
71,248.02249999999998,304.32613971957556,71,84.75,85.36,71,126.71249999999999,114.2875593368934
72,296.86,279.44386071838164,72,84.75,85.36,72,87.03,113.99973215902037
73,197.695,234.67542541812676,73,84.8775,85.36,73,144.39,115.50156260070932
74,283.1975,305.97637847413137,74,84.8325,85.36,74,87.09,115.07738000080771
75,219.16500000000002,145.32854486277594,75,84.7525,85.36,75,88.47749999999999,107.54385406286828
76,330.835,304.3174122966687,76,84.795,85.36,76,95.1775,113.49985235742457
77,268.645,290.1785377816925,77,84.77250000000001,85.36,77,94.0925,113.18081070356469
78,249.6775,304.3057732694458,78,84.91499999999999,85.36,78,233.14499999999998,320.2439223699719
79,291.2575,302.07460828101574,79,84.9,85.36,79,280.485,305.3471660609491
80,298.765,306.8138707147217,80,85.02,85.36,80,284.1925,305.2212718042974
81,144.8225,104.39406383956191,81,84.77250000000001,85.36,81,286.235,305.2143554563361
82,89.845,88.17934821306159,82,84.795,85.36,82,284.05749999999995,304.93321413481544
83,89.01,86.63287276472141,83,84.835,85.36,83,271.05999999999995,304.9242166610504
84,292.7675,304.7739248867134,84,84.9375,85.36,84,280.41,305.8622377242574
85,141.82500000000002,123.55577624304505,85,85.02,85.36,85,283.9475,305.21636328125925
86,238.60749999999996,307.4065082938199,86,84.91499999999999,85.36,86,289.045,305.95307965390145
87,267.865,272.21532883649877,87,84.835,85.36,87,245.51250000000002,171.40374387610038
88,258.5825,307.20559272187063,88,84.77250000000001,85.36,88,89.7175,113.89992631663065
89,305.9375,287.22297779952476,89,84.855,85.36,89,88.69,115.8990552959086
90,283.5,287.7225537569236,90,84.8775,85.36,90,88.46000000000001,115.87136333615565
91,91.0375,86.64045442860883,91,84.81,85.36,91,245.0525,309.73333189122786
92,339.1625,318.9262795985579,92,85.045,85.36,92,398.57000000000005,329.1692320756984
93,294.13,307.2065641124599,93,84.8175,85.36,93,309.89,321.8952053305945
94,291.24750000000006,301.6295193033632,94,84.77250000000001,85.36,94,298.3075,309.387716357251
95,249.45749999999998,301.2352207276301,95,84.9975,85.36,95,260.8875,309.1770068893554
96,296.34,308.3911849729842,96,85.10249999999999,85.36,96,323.4775,308.9686259775423
97,292.89750000000004,307.36362939507836,97,85.10249999999999,85.36,97,292.92999999999995,314.64341864063556
98,288.055,306.970388128591,98,85.08,85.36,98,302.09749999999997,308.6833961155274
99,293.985,300.6621294317805,99,85.0425,85.36,99,305.21000000000004,309.69505666598906
100,250.51250000000002,245.89626096361334,100,84.99749999999999,85.36,100,299.35,305.5987670022708
101,303.92499999999995,307.14574332658685,101,84.96000000000001,85.36,101,244.985,306.39896110975917
102,207.86999999999998,196.02276831429893,102,85.02,85.36,102,281.175,284.9598584169362
103,248.37499999999997,304.3061074044598,103,85.10249999999999,85.36,103,153.275,114.42149595236187
104,278.275,302.93534130784843,104,85.1925,85.36,104,90.145,114.23575942505393
105,93.8,93.230320298399,105,85.15,85.36,105,89.445,107.97485858852734
106,89.775,86.91355091780882,106,85.1025,85.36,106,122.6575,114.71326346021603
107,198.16500000000002,142.33069162423055,107,85.10249999999999,85.36,107,88.74000000000001,107.03840341807063
108,88.86000000000001,87.04216879037298,108,85.0575,85.36,108,89.32499999999999,107.20712535743786
109,240.43249999999998,304.3926797549151,109,84.9975,85.36,109,95.83749999999999,114.31109010718723
110,336.1625,311.1051465012414,110,85.08,85.36,110,136.1975,128.39661397621165
111,299.3775,300.9062273529453,111,84.43,85.36,111,88.375,113.71430177118266
112,297.92499999999995,302.5007960225523,112,84.63,85.36,112,89.29250000000002,114.01328868747173
113,289.585,305.906423844119,113,84.59,85.36,113,89.28999999999999,113.6158625044522
114,288.6775,303.0410614333515,114,84.67,85.36,114,88.91000000000001,113.48831734633708
115,247.0025,301.8825840010844,115,84.75,85.36,115,88.53999999999999,113.79321968086629
116,292.385,305.8779977242611,116,84.61250000000001,85.36,116,87.9375,107.74102759836988
117,292.61749999999995,303.13758266438276,117,84.75,85.36,117,89.69250000000001,118.88950729843324
118,289.6575,294.6196340893576,118,84.6925,85.36,118,87.9475,108.18970796313451
119,195.4325,160.4735700215563,119,84.67,85.36,119,88.2825,113.44882924085422
120,283.05,304.3079311397154,120,84.6925,85.36,120,125.56750000000001,107.61692207610527
121,253.0925,247.21187973294658,121,84.75,85.36,121,150.83,113.92096237633764
122,311.5775,317.8653624564016,122,84.75,85.36,122,87.63250000000001,108.49065400137042
123,300.48749999999995,302.9879823161428,123,84.61,85.36,123,87.495,107.94239179603323
124,291.6375,305.3691222677986,124,84.69,85.36,124,89.31,107.73520591112361
125,299.2125,300.74800788750775,125,84.69,85.36,125,142.345,107.33400878787997
126,171.03249999999997,161.42576765999922,126,84.55250000000001,85.36,126,141.435,107.56658927061585
127,90.1575,86.87070374907194,127,84.8175,85.36,127,87.195,113.71249991288127
128,333.975,307.26226000779957,128,84.8325,85.36,128,88.785,114.03671299752213
129,290.1075,301.69819735118955,129,84.75,85.36,129,88.08749999999999,107.07996632859867
130,257.15250000000003,305.71232177200585,130,84.69,85.36,130,88.1425,113.90816262743644
131,246.79700000000003,117.65706012375512,131,84.6925,85.36,131,87.21749999999999,114.43644465211031
132,293.68800000000005,306.57620062909507,132,84.855,85.36,132,87.09,114.8221142102156
133,294.0525,281.810903647867,133,84.925,85.36,133,87.32249999999999,114.1048729257213
134,258.7525,306.4144011801013,134,84.59,85.36,134,87.1725,103.32249431912878
135,295.7325,306.00126529958675,135,84.77250000000001,85.36,135,86.9025,89.12225647068773
136,144.60999999999999,120.25595904238492,136,84.69,85.36,136,87.09,107.64714954758888
137,312.625,306.0525088584514,137,84.9375,85.36,137,86.92750000000001,107.33469660482535
138,245.055,190.63083703058342,138,84.9,85.36,138,245.58,318.81246032316005
139,248.23249999999996,306.903664593548,139,84.855,85.36,139,286.02,304.3530005605289
140,194.84000000000003,153.92271007985863,140,84.795,85.36,140,286.775,303.3776865444927
141,244.21,306.2689922260675,141,84.77250000000001,85.36,141,285.26,303.1281080502242
142,140.755,107.62430097921022,142,84.77250000000001,85.36,142,287.3825,302.3864095539713
143,244.59750000000003,303.2743315461689,143,84.75,85.36,143,283.97249999999997,304.9369782884992
144,270.605,288.3167529728495,144,84.85499999999999,85.36,144,288.36,304.7652816795957
145,248.2425,304.3051900874986,145,84.9375,85.36,145,287.3025,305.74121719899244
146,257.355,307.1869583093994,146,84.77250000000001,85.36,146,287.525,303.53304058791366
147,248.07999999999998,234.1392306957889,147,84.75,85.36,147,294.4525,319.96056263305763
148,284.85249999999996,308.4847945264422,148,84.795,85.36,148,286.2425,303.5554317226835
149,319.1425,305.42888175217416,149,84.8775,85.36,149,288.435,305.31468709361775
150,313.765,287.8150081273775,150,84.855,85.36,150,299.2025,303.47339989596134
151,323.4725,307.6129208510646,151,84.77250000000001,85.36,151,300.4375,303.3803914540377
152,300.4375,307.08109319519264,152,84.8775,85.36,152,353.3675,330.51283663149104
153,298.22749999999996,305.1735443840522,153,84.75,85.36,153,349.80499999999995,321.9842841667971
154,298.0725,305.7743731753302,154,84.91499999999999,85.36,154,294.91,305.3593416695712
155,293.6,305.83406618765855,155,84.91499999999999,85.36,155,316.1925,306.9685915697405
156,290.79,301.6692307336566,156,84.8325,85.36,156,296.78499999999997,309.6727599210831
157,295.03000000000003,305.7557973026528,157,84.9975,85.36,157,300.895,308.6540878660244
158,290.85749999999996,304.56376646668366,158,85.0675,85.36,158,296.78749999999997,305.7108755201174
159,285.47,307.20233216297333,159,84.795,85.36,159,297.91999999999996,308.3972345478936
160,295.185,302.5566556508522,160,84.9375,85.36,160,277.0,305.7511580122034
161,281.99,306.3990717509395,161,84.9375,85.36,161,284.4975,304.70632392430633
162,277.7925,307.06996761028984,162,84.91499999999999,85.36,162,289.41749999999996,305.47999663134584
163,264.46500000000003,300.7444403592525,163,84.9375,85.36,163,231.9,129.48850379763877
164,252.88500000000002,295.1179794239897,164,84.99749999999999,85.36,164,90.80499999999999,114.96633908283735
165,94.4025,86.98831045008711,165,85.08,85.36,165,90.33,103.12168718157999
166,277.43499999999995,309.6377155985614,166,85.02,85.36,166,89.5575,89.25511020625858
167,289.28499999999997,308.22332526619124,167,85.05749999999999,85.36,167,90.065,115.13508980714914
168,302.84749999999997,301.637576761549,168,85.08,85.36,168,89.325,115.28091071504446
169,292.1575,306.87384271457046,169,85.125,85.36,169,89.915,116.04437141693577
170,294.115,294.7761001972924,170,85.22,85.36,170,92.94,107.6679065724486
171,103.615,90.66141825707277,171,85.125,85.36,171,109.78750000000001,114.51010140534555
172,236.07,312.6196398683481,172,85.10249999999999,85.36,172,88.53750000000001,107.42693567165142
173,243.14749999999998,307.28918480558855,173,84.9975,85.36,173,88.54500000000002,107.4921883784363
174,244.84499999999997,168.6766348489374,174,85.04249999999999,85.36,174,88.77,107.59653212464607
175,243.20250000000001,308.2031776926946,175,85.10249999999999,85.36,175,97.345,107.20115753843925
176,291.54499999999996,307.45918004071234,176,85.14999999999999,85.36,176,146.885,107.34663894167788
177,241.6225,217.45372768177361,177,84.9175,85.36,177,146.2175,103.03112137467777
178,126.20750000000001,124.34617432545616,178,84.6325,85.36,178,87.72,89.3673835745494
179,282.37,307.4663344924988,179,84.61250000000001,85.36,179,87.70750000000001,107.12658041026975
180,265.4625,306.52687596555177,180,84.51,85.36,180,93.125,113.96966481971214
181,281.025,304.11778135363477,181,84.61250000000001,85.36,181,87.6925,114.01790379203426
182,289.96500000000003,307.2028046035388,182,84.7725,85.36,182,87.69250000000001,107.63414557663468
183,282.53999999999996,306.8288240208963,183,84.45,85.36,183,87.6225,107.46700341315487
184,295.8625,303.3772515416928,184,84.655,85.36,184,89.60000000000001,114.26819772110449
185,292.6075,306.37123489505217,185,84.53,85.36,185,87.52,107.3416708774777
186,325.9425,306.6215463844085,186,84.5325,85.36,186,87.96,115.21433436246933
187,269.10249999999996,301.44609575802207,187,84.69,85.36,187,87.255,102.95871557136698
188,292.08500000000004,305.85398208318884,188,84.7725,85.36,188,87.0225,88.48952739961967
189,293.6775,303.78801340635073,189,84.51,85.36,189,87.2325,108.59704909877394
190,301.8325,305.9680000328483,190,84.59,85.36,190,116.67250000000001,113.9714499165676
191,290.12,302.468845803734,191,84.55250000000001,85.36,191,87.405,114.3308091249852
192,295.805,265.85016904182146,192,84.795,85.36,192,306.12250000000006,307.3153692380274
193,92.16499999999999,86.92808179556519,193,84.77250000000001,85.36,193,190.34499999999997,170.58320258149936
194,246.52999999999997,306.4883801069925,194,84.75,85.36,194,149.5625,103.2294070233989
195,249.185,239.77531715151028,195,84.61,85.36,195,87.345,85.08
196,273.43499999999995,306.2548770580578,196,84.75,85.36,196,87.21,88.58297912590157
197,252.195,306.3015268111437,197,84.67,85.36,197,87.32249999999999,108.50855662101608
198,213.60999999999996,188.0380787364936,198,84.77250000000001,85.36,198,229.42499999999998,318.29164631647143
199,324.4575,307.52188653682447,199,84.7125,85.36,199,285.56500000000005,305.5575777303647
200,338.02000000000004,306.52225645004813,200,84.9375,85.36,200,282.53,303.9946114368504
201,296.74,307.5504007413108,201,84.63,85.36,201,286.16,304.7521763108905
202,295.5025,303.75717384482135,202,84.69500000000001,85.36,202,284.7125,304.8302404705427
203,294.6775,305.41654451601926,203,84.6925,85.36,203,284.73,304.5543822375239
204,277.395,264.12255216277276,204,84.8325,85.36,204,282.6675,306.013576826588
205,248.2325,290.1846595733126,205,84.75,85.36,205,285.425,304.56185060382427
206,243.7425,306.44621566214744,206,84.75,85.36,206,237.01500000000001,237.95189367187655
207,287.0825,243.25091214316978,207,84.77250000000001,85.36,207,92.3425,122.50711546266385
208,235.9975,307.5971990046173,208,84.75,85.36,208,89.52000000000001,114.1838576447881
209,291.6125,306.6251019854586,209,84.8325,85.36,209,148.905,114.02619390861845
210,299.6575,303.68486995447404,210,84.91499999999999,85.36,210,106.275,113.88396234585844
211,263.39,306.7567461282052,211,84.96,85.36,211,152.03,106.7584765073246
212,317.6875,301.6800714427948,212,84.795,85.36,212,283.2925,323.9560835038246
213,299.35249999999996,307.42109515846766,213,84.77250000000001,85.36,213,289.12,310.2789685752517
214,320.31,253.6595449250015,214,84.75,85.36,214,289.7975,305.55957738993817
215,92.2425,87.24043380033723,215,84.795,85.36,215,289.1975,305.5719389511742
216,325.1275,306.36062077244793,216,84.75,85.36,216,290.11,305.39234213038765
217,298.96000000000004,267.48456550675064,217,84.96000000000001,85.36,217,285.08750000000003,306.29160987546015
218,316.295,306.04718714338514,218,84.855,85.36,218,258.9225,305.20925975108946
219,297.01750000000004,301.4554625238442,219,84.75,85.36,219,286.78,305.2713042408195
220,298.8225,300.41705435642405,220,84.77250000000001,85.36,220,288.88,267.60751976083503
221,334.1775,308.338723978098,221,84.75,85.36,221,181.25,114.2308700606778
222,246.885,194.4749162827366,222,84.795,85.36,222,90.645,115.43536484511625
223,244.54500000000002,304.54846127244485,223,85.0425,85.36,223,90.365,115.20346902492277
224,288.0675,273.4402769825924,224,84.8325,85.36,224,88.905,108.38770843396283
225,241.4425,312.128054267275,225,84.77250000000001,85.36,225,118.64499999999998,108.1525523502149
226,262.75,307.5012913646965,226,84.75,85.36,226,88.73499999999999,117.75965460357259
227,283.58000000000004,303.8958395095817,227,84.91499999999999,85.36,227,149.1375,108.7848254850106
228,303.1275,306.663894841677,228,84.9,85.36,228,164.6925,109.40761101106978
229,344.83250000000004,317.1541298546081,229,84.96,85.36,229,87.76500000000001,88.8405765816185
230,292.455,303.0477960748692,230,84.91499999999999,85.36,230,175.91,131.47283373003071
231,334.6,309.33371243195677,231,84.795,85.36,231,87.705,89.36250883724878
232,291.34,307.1790432356963,232,84.9375,85.36,232,87.95,113.76992708104389
233,290.5775,302.429593299113,233,84.9375,85.36,233,138.67000000000002,107.55760566642863
234,291.3175,302.5781723692326,234,85.02,85.36,234,139.805,103.29685815822806
235,288.99,303.43939183381804,235,85.065,85.36,235,87.23249999999999,89.470511600826
236,288.6875,307.70981607180886,236,84.975,85.36,236,87.27749999999999,102.94689551804338
237,294.365,307.07420355850485,237,84.8725,85.36,237,87.18749999999999,89.10772820075528
238,296.4575,304.06914370801763,238,84.96000000000001,85.36,238,87.2325,108.53858945428163
239,248.2,307.517938346335,239,84.9375,85.36,239,87.1725,106.94921990084737
240,301.915,306.74571615153775,240,85.02,85.36,240,87.72749999999999,114.08322709013358
241,307.345,302.9561299785369,241,85.065,85.36,241,87.21,107.32710720320766
242,303.3425,306.5998197066652,242,84.9375,85.36,242,101.69749999999999,113.23554809724439
243,265.29749999999996,244.9155096884724,243,84.8775,85.36,243,87.405,133.4352085664181
244,322.53999999999996,307.3726145356143,244,84.855,85.36,244,147.195,107.73252293692444
245,334.54,305.6986324307667,245,84.53,85.36,245,146.745,102.90942612180031
246,294.3425,302.23087916038173,246,84.43,85.36,246,86.8575,88.71397972369168
247,196.71,172.39522115554655,247,84.59,85.36,247,87.23249999999999,115.4887126878017
248,327.9125,307.1581144597879,248,84.6325,85.36,248,87.0225,107.63225351980651
249,304.88750000000005,302.8593056089045,249,84.43,85.36,249,87.6225,108.09528716326855
250,300.125,305.0023575422665,250,84.53,85.36,250,143.925,114.4172679221942
251,301.99249999999995,300.40095361494014,251,84.53,85.36,251,138.46249999999998,107.97913682219769
252,296.6175,307.5781254791646,252,84.61,85.36,252,138.1,158.56321344678068
253,299.665,301.70517165435945,253,84.67,85.36,253,86.9175,85.08
254,199.39000000000004,165.57787760800522,254,84.75,85.36,254,86.73500000000001,88.72086028079453
255,242.8075,305.81789041153377,255,84.53,85.36,255,86.72250000000001,108.44638505513305
256,293.97749999999996,307.27832335618524,256,84.47,85.36,256,86.7925,103.16118617869581
257,196.87749999999997,199.981232561738,257,84.49000000000001,85.36,257,86.42250000000001,88.9773668456378
258,282.37,306.5105562363917,258,86.35,85.36,258,233.97750000000002,314.60842176104245
259,319.1825,302.5806609657799,259,84.57,85.36,259,280.2525,303.55049571454174
260,343.5475,306.271500010575,260,84.51,85.36,260,281.6325,301.9452260144318
261,305.0275,302.87919649687325,261,84.45,85.36,261,291.47249999999997,304.9748679635736
262,336.11,306.1495184564765,262,84.655,85.36,262,312.94,302.4481072373254
263,294.1275,302.127917848768,263,84.6725,85.36,263,281.23,302.3029688625876
264,312.0325,291.3912469294633,264,84.6925,85.36,264,301.47749999999996,303.4954137538963
265,339.63249999999994,307.20084935300235,265,84.6925,85.36,265,239.815,290.56490260931923
266,198.59,181.3657409413162,266,84.81,85.36,266,145.8225,107.37438170249368
267,286.915,307.1548846561484,267,84.5925,85.36,267,88.67249999999999,107.24107224535376
268,297.0725,307.212236322445,268,84.63,85.36,268,141.1675,103.65089196652812
269,296.6125,302.43929851470193,269,84.53,85.36,269,87.905,85.08
270,291.16249999999997,274.66954554923245,270,84.69,85.36,270,87.6825,89.64934132776185
271,93.67750000000001,87.28386611840948,271,84.63,85.36,271,87.795,107.07224007299578
272,261.38,308.5987447331595,272,84.8325,85.36,272,240.10249999999996,313.4080729522356
273,255.9175,306.9841573310165,273,84.6925,85.36,273,371.5625,317.8976831029899
274,304.36,306.4718267640229,274,85.7025,85.36,274,290.4875,305.65905223252446
275,297.7725,301.98247818389893,275,85.815,85.36,275,285.57,304.12217216469026
276,315.74749999999995,306.8553085726744,276,85.815,85.36,276,284.8075,307.0139370248662
277,305.265,302.8382134345718,277,85.725,85.36,277,285.3175,305.43582251904326
278,337.40999999999997,308.0607258308106,278,85.815,85.36,278,266.125,306.11658069405644
279,330.135,307.0618049579291,279,85.77,85.36,279,302.4575,303.8500010319898
280,304.27500000000003,304.12331082385344,280,85.9275,85.36,280,92.1375,243.03111936250968
281,186.3525,147.9068033982051,281,85.83749999999999,85.36,281,142.05,107.49184328567908
282,296.265,294.49909772722174,282,85.97250000000001,85.36,282,178.8375,107.64504520042705
283,248.9225,305.8033419041982,283,85.83749999999999,85.36,283,90.6525,103.0688046742554
284,240.08749999999998,307.6236282408176,284,85.72500000000001,85.36,284,88.125,85.08
285,293.4375,302.43175344160926,285,85.905,85.36,285,87.81,88.76096857067556
286,292.69,304.5185981439091,286,85.8375,85.36,286,88.5375,107.98551774645226
287,288.5325,307.36311561624785,287,85.77000000000001,85.36,287,92.055,114.29396111146832
288,279.4375,306.65045932096234,288,85.8825,85.36,288,90.5825,113.21408400041
289,294.145,307.3847130342228,289,85.965,85.36,289,139.075,114.41201668304456
290,315.875,306.6194569468919,290,85.905,85.36,290,137.235,114.67765056203459
291,283.4475,306.95757935673896,291,85.9725,85.36,291,136.4025,113.79550549394281
292,296.84749999999997,309.0601592130593,292,85.95,85.36,292,87.54249999999999,106.97489779841828
293,333.9675,306.1663288408662,293,85.95,85.36,293,136.70000000000002,113.79206440776684
294,301.4925,304.188606330469,294,85.95,85.36,294,112.4525,107.12713497533271
295,346.3425,306.6963887394008,295,85.95,85.36,295,130.79250000000002,113.92152028303009
296,327.5025,307.20052217436313,296,85.9725,85.36,296,134.64,114.16748136511234
297,299.35,302.5597698495687,297,85.9725,85.36,297,87.1725,107.21557322901734
298,302.91749999999996,306.67760411228323,298,85.995,85.36,298,107.99249999999999,114.39497565297835
299,198.70499999999998,147.78314198661306,299,85.95,85.36,299,106.675,110.79848914537524
300,315.375,307.3094567020723,300,85.9725,85.36,300,86.8825,88.94230883655837
301,301.92,249.8820112883338,301,86.1375,85.36,301,140.655,107.82710696879451
302,301.3275,306.29535764594414,302,85.9725,85.36,302,87.8875,107.99920384857896
303,291.71250000000003,306.92027022802404,303,85.9725,85.36,303,288.0,308.7741539730593
304,306.44000000000005,300.8968120744375,304,85.95,85.36,304,301.705,304.12771246080786
305,327.235,306.5334149062009,305,85.9725,85.36,305,297.3125,305.6851779011777
306,322.77,306.35605929044385,306,86.11500000000001,85.36,306,297.1675,302.62664104484605
307,309.7425,303.2439751310716,307,86.22000000000001,85.36,307,248.365,273.00648764107405
308,328.3125,309.0242849083488,308,86.115,85.36,308,135.365,106.91497517117037
309,276.86,244.1065208376335,309,86.22,85.36,309,294.5825,304.71936451516177
310,306.4425,320.01509450531023,310,85.995,85.36,310,295.8775,303.89428087755226
311,327.0,308.95690045145705,311,86.16000000000001,85.36,311,294.67,300.59900454348605
312,315.35,307.60268118282625,312,85.68,85.36,312,301.09749999999997,303.0658133589166
313,295.025,306.89507367028443,313,85.8375,85.36,313,297.3875,308.0241248493087
314,294.74,308.33404038285596,314,85.68,85.36,314,294.4425,304.1991878835952
315,336.9625,310.0545925510173,315,85.6425,85.36,315,302.1625,305.688822747672
316,291.335,307.34310301179397,316,85.7025,85.36,316,143.3025,161.69956531752968
317,297.515,301.8885210089771,317,85.7025,85.36,317,142.995,107.33474384731318
318,193.405,184.00478528525588,318,85.7925,85.36,318,295.4825,310.06137939663734
319,279.935,307.15363604791196,319,85.68,85.36,319,310.575,303.28301292805577
320,291.03,305.6826492058036,320,85.725,85.36,320,301.02000000000004,302.0889933670545
321,201.715,199.42010100092347,321,85.68,85.36,321,297.77,303.7748396872214
322,336.21750000000003,287.86256010135696,322,85.65750000000001,85.36,322,300.71000000000004,301.457309512003
323,323.72249999999997,306.68038862638883,323,85.7025,85.36,323,143.54999999999998,153.80157403935127
324,299.3175,301.3353978836029,324,85.74749999999999,85.36,324,141.5325,114.1458185590869
