epoch,train_total_loss,train_nll,train_mu_loss,val_total_loss,val_nll,val_mu_loss,mean_sigma,mean_alpha,lr
17.0,0.7057808955510457,0.6195791343847911,0.8620176374912262,0.6123910744984945,0.5308170914649963,0.8157398402690887,0.4852722724278768,0.17078685164451599,0.001
18.0,0.6985555489857992,0.6127182424068451,0.858373103539149,0.6011066436767578,0.5199511845906576,0.8115545511245728,0.4768205165863037,0.16481601397196452,0.001
19.0,0.6928482135136922,0.6073536237080892,0.8549458702405294,0.5917258063952128,0.5109921097755432,0.8073369761308035,0.4702651600042979,0.15970878899097443,0.001
20.0,0.6881795148054759,0.6030102451642354,0.8516927063465118,0.5838703215122223,0.5035619735717773,0.8030835092067719,0.4651395559310913,0.1554161339998245,0.001
21.0,0.6842346886793772,0.5993741552035013,0.8486053168773651,0.5771944721539816,0.4973122576872508,0.7988222539424896,0.46103262702624004,0.1518264869848887,0.001
22.0,0.6808077891667684,0.5962408423423767,0.8456694900989532,0.5714164674282074,0.49195834000905353,0.7945812741915385,0.45764224926630653,0.14883545339107512,0.001
23.0,0.6777300814787547,0.5934451242287954,0.8428495407104493,0.5663345952828726,0.48728474974632263,0.7904984553654989,0.4547519385814667,0.14635531504948934,0.001
24.0,0.6749553124109904,0.5909354865550995,0.840198294321696,0.5617854992548624,0.4831415017445882,0.7864400049050649,0.452238130569458,0.1443110187848409,0.001
25.0,0.6724718550841013,0.5887017369270324,0.8377011974652608,0.5576559404532114,0.47941487034161884,0.7824106415112814,0.44998297095298767,0.14263037741184234,0.001
26.0,0.6702414770921071,0.5867098768552145,0.8353160003821055,0.5539041558901469,0.4760549267133077,0.7784921328226725,0.4479547103246053,0.14125501116116843,0.001
27.0,0.6682278037071228,0.5849179685115814,0.8330984115600586,0.550486296415329,0.47300949692726135,0.7747678657372793,0.44613752166430154,0.14010108709335328,0.001
28.0,0.6664038280646006,0.5833149313926697,0.830888960758845,0.5473764340082804,0.47026538848876953,0.7711104055245718,0.44451223611831664,0.13911204636096955,0.001
29.0,0.6646856506665547,0.5818082392215729,0.8287741442521414,0.5445265372594198,0.46777303020159405,0.7675351699193319,0.44311707019805907,0.13830287158489227,0.001
30.0,0.6631541689236958,0.5804725627104441,0.8268160661061604,0.541879802942276,0.46547451615333557,0.7640528678894043,0.4418204585711161,0.13763598402341207,0.001
31.0,0.6617724200089773,0.5792918582757314,0.8248056411743164,0.5394138594468435,0.4633583128452301,0.7605553766091665,0.44061914483706155,0.13707979520161948,0.001
32.0,0.6605584641297658,0.5782704770565033,0.8228798548380534,0.5371182362238566,0.46140893300374347,0.7570928434530894,0.43946770429611204,0.13661829233169556,0.001
33.0,0.6594854017098745,0.5773661832014719,0.8211921731630961,0.5349718928337097,0.45959187547365826,0.7538002034028372,0.43840071360270183,0.1362261931101481,0.001
34.0,0.6584840794404347,0.5765391965707143,0.8194487849871318,0.5329983433087667,0.45793203512827557,0.7506631910800934,0.43741948405901593,0.1359202375014623,0.001
35.0,0.6575924038887024,0.5758135994275411,0.8177881260712941,0.5312111377716064,0.4564490119616191,0.7476214170455933,0.43656429251035056,0.13570139308770499,0.001
36.0,0.6568318883577983,0.5751931428909302,0.8163874765237172,0.5295939147472382,0.45511989792188007,0.7447402675946554,0.4357935647169749,0.13556151390075682,0.001
37.0,0.6561112225055694,0.5746265153090159,0.8148470759391785,0.5281012952327728,0.4539182384808858,0.7418304979801178,0.4351114511489868,0.1354943017164866,0.001
38.0,0.6554594933986664,0.5741174042224884,0.8134208540121715,0.5267305076122284,0.45283209284146625,0.7389841675758362,0.4345079263051351,0.13550444940725961,0.001
