epoch,train_total_loss,train_nll,train_mu_loss,val_total_loss,val_nll,val_mu_loss,mean_sigma,mean_alpha,lr
12.0,0.5310229535791136,0.4114594537836854,1.195635011863141,0.6800095869435204,0.5932401099966632,0.8676948481135898,0.3609404107999234,0.0993329772637004,0.001
13.0,0.5553481334909087,0.4328367574323368,1.2251137349577177,0.6783179682162073,0.592194365337491,0.8612359695964389,0.3558457405084655,0.09413120931103117,0.001
14.0,0.596949905911017,0.47105922141123474,1.2589068150236493,0.6766495712929301,0.5910329843560854,0.8561658495002322,0.35143088921904564,0.08998077052334945,0.001
15.0,0.6651337866094851,0.5350788372701832,1.3005495270093281,0.6747733222113715,0.5897026417983903,0.8507069051265717,0.3475403943586917,0.08662183476345879,0.001
16.0,0.7704043967560643,0.6358368731813416,1.3456751970308167,0.6727546863257885,0.5881843744880624,0.845703168047799,0.34406969589846476,0.08389784945618539,0.001
17.0,0.9318498822727374,0.7922784457027557,1.3957143777183123,0.6705534151858754,0.5864635590049956,0.8408985005484687,0.3409591679949136,0.08167365707811855,0.001
18.0,1.1751010762527585,1.0303033900314145,1.4479769965012868,0.6681599248614576,0.5845330274767346,0.8362689978546567,0.33810956545528914,0.07984710431524686,0.001
19.0,1.5448673950242144,1.3947161263121026,1.5015124298986935,0.6655069043238958,0.5823122900393274,0.8319461676809523,0.33551317852522644,0.07833764906085673,0.001
20.0,2.1043267271348407,1.9488260608521246,1.555006286218053,0.6625080050693618,0.5797269178761376,0.8278108504083421,0.33317316900051774,0.07708341096128736,0.001
21.0,2.9292829324092184,2.7686249798252467,1.606580408201331,0.6591388417614831,0.5767650869157579,0.8237375517686208,0.3310758589012992,0.07602564147895291,0.001
22.0,4.125388363908444,3.9599335993684472,1.6545460507983254,0.6554093178775575,0.5734693888160918,0.8193993204169803,0.32919079198368956,0.0751337774452709,0.001
23.0,5.817417547993717,5.647753589830938,1.6966382201228822,0.6514388885762956,0.5698967228333155,0.8154217667049832,0.32746608018697726,0.07436639017292432,0.001
24.0,8.08642110042274,7.9130698540913205,1.7335109348808015,0.647471472620964,0.5662227951818042,0.8124868273735046,0.3259129730008897,0.07368763669260911,0.001
25.0,10.920167153169002,10.743998051754065,1.7616904619194211,0.6438871141937044,0.5629090385304557,0.8097807533211179,0.32447370713842766,0.07303503040401708,0.001
26.0,14.203532013332559,14.025132242412795,1.783993130638486,0.6408262633615069,0.5600449972682529,0.8078126907348633,0.3230914661128606,0.07236076873682794,0.001
27.0,17.542654650197143,17.36295798225772,1.7969608590716408,0.638247647219234,0.5576407147778405,0.8060692648092905,0.32175282788063797,0.07163029811566785,0.001
28.0,20.304759549420503,20.124669922072265,1.8008953084548314,0.6359628587961197,0.555478874180052,0.8048400382200877,0.32060602464757504,0.0708438672480129,0.001
29.0,21.675878372930345,21.496238742378495,1.796401756150382,0.6338023692369461,0.5534564256668091,0.8034593032466041,0.3198508852427559,0.07004200090609845,0.001
30.0,21.307572165592795,21.129124926403165,1.7844678028708412,0.6319369359148873,0.5516948335700564,0.8024210962984297,0.31942126700388535,0.06925025471441802,0.001
31.0,19.501840593204612,19.325037882530264,1.7680284622169675,0.630369159910414,0.5502443578508165,0.8012479941050211,0.3191451354484473,0.06854439433664083,0.001
32.0,16.773167961410113,16.598023484239267,1.751444121201833,0.6290536324183146,0.5490640964772966,0.7998953362305959,0.31893205846704187,0.06789096059011561,0.001
33.0,13.693221246734971,13.51984635554254,1.7337443651187987,0.6279982957575057,0.5481020543310378,0.798962414264679,0.31875810860877946,0.06732346884728897,0.001
34.0,10.75653131998011,10.585298840222615,1.712328354517619,0.6271420352988772,0.5473251375887129,0.7981690333949195,0.31857154921938974,0.06686084602205526,0.001
35.0,8.246037072369031,8.076917435796489,1.6911947315647489,0.6263671980963813,0.5466897024048699,0.7967748973104689,0.3183521705546549,0.0665041771939113,0.001
36.0,6.227619518304155,6.06014835195882,1.674709935273443,0.6256774961948395,0.546115560664071,0.7956192824575636,0.3181401734639491,0.06623889634474403,0.001
37.0,4.6180818559868,4.452784535962911,1.6529733403807594,0.6250912977589501,0.5456091662247976,0.7948213716348013,0.3179367757624104,0.06604959190424,0.001
38.0,3.3861343699196973,3.2231763367141997,1.6295803976910455,0.6244930028915405,0.5451446341143714,0.7934837142626444,0.31773499337335426,0.06593078569996924,0.001
