Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency,Batch Size,Effective Batch Size,Prefill Tokens,Decode Tokens,Prefill Throughput,Decode Throughput
1745588338.4216099,meta-llama/Llama-3.1-8B-Instruct,scienceqa,4.0,1,20,138,2.2015466690063477,16.0,8.193337075354961,1039.0,2610.0,6582.277059811809,104.94194951452853
1745588338.1894112,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,1,43,171,2.688291311264038,15.0,8.193465115940022,1281.0,3153.0,7268.242100215552,114.61460169488005
1745588336.960134,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,1,20,301,4.605157136917114,16.0,8.193912407256056,3269.0,5000.0,12222.162558802844,145.59611344135376
1745588337.4623487,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,1,535,296,4.564164400100708,16.0,8.194211423536798,2660.0,5110.0,9948.109575588815,134.10116661603016
1745588337.4913533,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,1,188,300,4.605375528335571,15.0,8.194246983725511,2660.0,5166.0,9144.604765870045,121.14858620558655
1745588340.9175603,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,24,162,2.7359938621520996,26.0,8.198202310248162,3410.0,3113.0,33248.037651400206,191.38774001320343
1745588334.8047023,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,62,614,9.416200876235962,28.0,8.199433524284299,8943.0,9344.0,21657.833455906537,158.64604818095802
1745588341.5753262,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,27,158,2.7993266582489014,28.0,8.199940419360246,4414.0,3522.0,35901.18584991248,147.74318337711986
1745588342.916522,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,13,86,1.5991458892822266,29.0,8.200255994461045,2832.0,2307.0,39499.22184020238,141.1289565524308
1745588335.8812404,meta-llama/Llama-3.1-8B-Instruct,guanaco,4.0,1,52,555,8.771780967712402,28.0,8.200407583940063,9229.0,9554.0,19754.1657528603,132.86478204609955
1745588343.5809813,meta-llama/Llama-3.1-8B-Instruct,theoremqa,4.0,1,387,84,1.5383691787719727,30.0,8.201557965007279,2429.0,2441.0,18929.550813631624,91.97714542616819
1745588342.2353196,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,75,165,2.933096408843994,29.0,8.201617538946742,4432.0,4202.0,29951.93896631202,142.86083600443393
1745588342.1124818,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,757,199,3.604884386062622,31.0,8.20291432741,5950.0,5213.0,28053.334604393815,158.34536130599278
1745588343.9397311,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,1,170,101,1.843397855758667,31.0,8.203059525284399,2812.0,3044.0,12771.507396108942,95.09995322807744
1745588338.5893135,meta-llama/Llama-3.1-8B-Instruct,scibench,4.0,1,26,444,7.358036279678345,30.0,8.203267192706615,7201.0,9672.0,13931.254118699257,116.39078238175767
1745588339.2712052,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,309,401,6.692745685577393,29.0,8.20328704829731,7019.0,8864.0,13791.404257956821,105.67124418101714
1745588339.167027,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,76,417,6.965153217315674,29.0,8.20360038004214,7265.0,9290.0,13754.584006221558,102.31875193660123
1745588338.257931,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,41,477,7.8999342918396,29.0,8.203788757977508,7735.0,10412.0,13206.722835013497,99.6366962951647
1745588343.9264028,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,1,211,128,2.2960574626922607,28.0,8.20386453363066,3127.0,3852.0,9393.576449453914,61.17857290821193
1745588343.9869194,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,1,224,127,2.251986026763916,27.0,8.203882566527508,2876.0,3801.0,7881.102422780993,58.333190408060105
1745588342.829252,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,1,60,231,4.071397542953491,27.0,8.204643748519794,4819.0,6483.0,11977.027261935858,90.2034727992419
