Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency,Batch Size,Effective Batch Size,Prefill Tokens,Decode Tokens,Prefill Time,Decode Time,Prefill Throughput,Decode Throughput
2025-04-27T08:53:58.013976,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,425,292,2.644280433654785,28.0,36.84406779661017,1974.0,8895.0,0.1992527209877153,36.09023570702266,9907.016527627267,246.46555573116297
2025-04-27T08:53:59.307102,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,21,145,1.3513500690460205,28.0,37.74324324324324,964.0,4622.0,0.12888458599627484,27.351477048010565,7479.560046287169,168.9853894137752
2025-04-27T08:53:59.508860,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,16,130,1.2100777626037598,27.0,37.909774436090224,903.0,4139.0,0.1414749670002493,28.52877261100366,6382.754625405983,145.0816008258123
2025-04-27T08:53:57.600114,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,33,348,3.163961887359619,29.0,38.86363636363637,3201.0,10479.0,0.24079372299456736,41.090400988010515,13293.53589533652,255.0230649503176
2025-04-27T08:53:57.645088,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,58,368,3.343017816543579,29.0,38.746630727762806,3321.0,11054.0,0.253461342988885,44.40382229301031,13102.58977103911,248.94253307873524
2025-04-27T08:53:59.770853,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,15,144,1.347931146621704,28.0,38.932432432432435,1254.0,4508.0,0.14317070499964757,27.29584055900341,8758.77505808948,165.15336797397347
2025-04-27T08:53:56.045692,meta-llama/Llama-3.1-8B-Instruct,leetcode_ne,4.0,8,571,574,5.124969482421875,27.0,37.5684575389948,5295.0,16382.0,0.3744497679945198,67.67115791800461,14140.748513102282,242.08245438698782
2025-04-27T08:54:00.005289,meta-llama/Llama-3.1-8B-Instruct,ARB,4.0,8,141,146,1.3432905673980713,26.0,37.83221476510067,1199.0,4438.0,0.16508179099764675,32.7964338189995,7263.066342774848,135.31959067540433
2025-04-27T08:54:00.716234,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,8,155,91,0.8345403671264648,24.0,36.14736842105263,797.0,2637.0,0.10528939299547346,16.109283187986875,7569.613399084408,163.69443439708613
2025-04-27T08:54:00.521516,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,8,181,116,1.0606117248535156,23.0,36.45378151260504,1018.0,3320.0,0.15611312798864674,21.045425954995153,6520.912194354556,157.75399400799463
2025-04-27T08:53:59.619819,meta-llama/Llama-3.1-8B-Instruct,ARB,4.0,8,133,218,1.9857594966888428,22.0,35.869369369369366,1426.0,6537.0,0.25605698199069593,40.66076519899798,5569.072902889307,160.76923215800903
2025-04-27T08:53:58.846120,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,46,313,2.839744806289673,21.0,35.92138364779874,2059.0,9364.0,0.2848983719886746,49.215796117990976,7227.138525318951,190.264117186087
2025-04-27T08:54:00.685944,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,8,239,114,1.032365083694458,21.0,34.10084033613445,867.0,3191.0,0.17363750799268018,22.848183814974618,4993.1608096826,139.66099125605905
2025-04-27T08:54:00.870386,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,8,153,102,0.886206865310669,20.0,28.695238095238096,263.0,2750.0,0.1663528019853402,19.395196001984004,1580.9772775764657,141.78768802948383
2025-04-27T08:53:59.539827,meta-llama/Llama-3.1-8B-Instruct,scienceqa,4.0,8,178,299,2.6368510723114014,21.0,34.228476821192054,2032.0,8305.0,0.337290461982775,53.653229095987626,6024.481060196038,154.7903106659628
2025-04-27T08:54:02.311611,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,8,131,149,1.3229703903198242,27.0,39.55555555555556,2174.0,3878.0,0.015558961000351701,1.2865877130025183,139726.55371723458,3014.1745959549744
2025-04-27T08:53:55.765457,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,8,130,906,7.920515775680542,26.0,35.847084708470845,8165.0,24420.0,0.5398866789764725,89.13321747299051,15123.544102772388,273.97193428364506
2025-04-27T08:53:56.413032,meta-llama/Llama-3.1-8B-Instruct,tigerbot-kaggle,4.0,8,349,834,7.312010049819946,25.0,35.60071513706794,7190.0,22679.0,0.5347059409687063,90.41774916899158,13446.643190412571,250.8246468026178
2025-04-27T08:54:01.904790,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,50,243,2.1026103496551514,25.0,38.08536585365854,3283.0,6086.0,0.07782501399196917,21.1102085800012,42184.380465884344,288.29653562805555
2025-04-27T08:54:01.682945,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,30,277,2.3739333152770996,24.0,36.23131672597865,3353.0,6828.0,0.14265902698389255,28.073801706996164,23503.59504680053,243.216079933286
2025-04-27T08:54:03.140980,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,8,241,119,1.0829272270202637,25.0,41.725806451612904,1858.0,3316.0,0.09055283099587541,21.875458611000795,20518.40875173334,151.58539342953205
2025-04-27T08:54:03.202424,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,8,445,119,1.0580470561981201,26.0,41.032786885245905,1738.0,3268.0,0.11151414299092721,22.890798407002876,15585.46703929208,142.76478879829006
2025-04-27T08:54:02.425108,meta-llama/Llama-3.1-8B-Instruct,ARB,4.0,8,397,239,2.0927772521972656,26.0,39.37190082644628,3248.0,6280.0,0.13076023798930692,24.947607565001817,24839.355219478948,251.7275447610458
2025-04-27T08:53:56.894140,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,8,49,870,7.633384704589844,25.0,36.25684931506849,8046.0,23715.0,0.6067666509625269,104.25389561699558,13260.45191711914,227.47351415167603
2025-04-27T08:54:04.200197,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,8,31,105,0.9170033931732178,25.0,29.045454545454547,361.0,2834.0,0.08319366499927128,12.55979130599735,4339.27270788181,225.64069186776644
2025-04-27T08:54:04.202268,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,50,142,1.2195286750793457,24.0,28.027210884353742,361.0,3759.0,0.09582177700212924,13.73569071899692,3767.4108255368537,273.66661618269967
2025-04-27T08:54:02.577492,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,267,359,3.0793938636779785,23.0,33.80165289256198,2937.0,9333.0,0.18670041798759485,37.62002356000448,15731.084223898988,248.0859690349138
2025-04-27T08:53:44.906537,meta-llama/Llama-3.1-8B-Instruct,airoboros,4.0,8,51,2605,21.260315656661987,23.0,29.99808282208589,16730.0,61505.0,1.2610210849743453,254.6886899119927,13267.026379927947,241.49089628303858
2025-04-27T08:54:03.695561,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,8,187,350,2.923832416534424,23.0,30.957865168539325,2233.0,8788.0,0.1847006289899582,52.542099021004105,12089.834302196143,167.25635564134828
2025-04-27T08:54:03.702329,meta-llama/Llama-3.1-8B-Instruct,tigerbot-kaggle,4.0,8,580,354,2.948288679122925,22.0,30.88300835654596,2233.0,8854.0,0.20196960699104238,55.43948943300347,11056.118954071324,159.70565549128523
2025-04-27T08:54:04.149736,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,39,429,3.5345733165740967,25.0,29.157043879907622,2152.0,10473.0,0.17155671699583763,47.26892348399997,12543.956527520939,221.56205870745077
2025-04-27T08:54:02.604857,meta-llama/Llama-3.1-8B-Instruct,theoremqa,4.0,8,371,615,5.147660970687866,24.0,32.153721682847895,4565.0,15306.0,0.2637744219900924,73.22158753400436,17306.45437703382,209.03671329021432
2025-04-27T08:54:04.258368,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,34,478,3.941826105117798,23.0,28.195426195426194,1904.0,11658.0,0.1796602799950051,56.38031665400922,10597.779320242264,206.77429095586672
2025-04-27T08:54:06.023079,meta-llama/Llama-3.1-8B-Instruct,reclor,4.0,8,161,262,2.1772799491882324,23.0,30.211320754716983,1704.0,6302.0,0.10447400499833748,41.65109150100761,16310.277374999801,151.30455824543142
2025-04-27T08:54:07.100290,meta-llama/Llama-3.1-8B-Instruct,MATH/PRM-800K,4.0,8,23,153,1.3218352794647217,24.0,32.09615384615385,1142.0,3865.0,0.07040849599434296,15.950540963014646,16219.633495533766,242.31153093565777
