hardware,heldout_family,model,tp,rate,measured_mean_w,predicted_mean_w,bin_mape_pct
A100,dense-70b,deepseek-r1-distill-70b,8,4,2105.280676919033,2204.7478959750147,8.733196435821116
A100,dense-70b,deepseek-r1-distill-70b,8,4,2108.3570241850684,2204.795482480737,8.726913723957892
A100,dense-70b,llama-3-70b,4,0.125,695.9508015478165,713.723583517775,19.234982603098945
A100,dense-70b,llama-3-70b,4,0.125,698.2914538419016,714.1635726388914,19.2924073605267
A100,dense-70b,llama-3-70b,4,0.25,1004.5749772079772,963.4064455534653,17.417735103579467
A100,dense-70b,llama-3-70b,4,0.25,1004.149106837607,963.7643044224948,17.369845198122697
A100,dense-70b,llama-3-70b,4,0.5,1178.5325219298245,1089.5703520797335,11.170939119795731
A100,dense-70b,llama-3-70b,4,0.5,1175.7987972085386,1089.3727140361118,11.625431459983778
A100,dense-70b,llama-3-70b,4,1,1235.0134644939058,1171.6189743054263,7.885080441061816
A100,dense-70b,llama-3-70b,4,1,1231.6366494435615,1170.7483881349729,8.04880732804911
A100,dense-70b,llama-3-70b,4,2,1246.5444162640902,1272.7431913054347,8.84937540114241
A100,dense-70b,llama-3-70b,4,2,1241.6280810520666,1273.9183600402457,8.950984633925382
A100,dense-70b,llama-3-70b,4,4,1300.1542975635045,1477.558383900253,15.17287511662841
A100,dense-70b,llama-3-70b,4,4,1301.4545541731468,1477.398562156972,15.164038984773176
A100,dense-70b,llama-3-70b,8,0.125,1024.1163491403215,1115.932639149027,21.429084173973525
A100,dense-70b,llama-3-70b,8,0.125,1007.8798835274541,1110.6449611712053,23.14820029095664
A100,dense-70b,llama-3-70b,8,0.25,1475.6208732876714,1489.7932396298866,20.39990143672532
A100,dense-70b,llama-3-70b,8,0.25,1412.2845904680366,1491.6124734203727,20.28448586318533
A100,dense-70b,llama-3-70b,8,0.5,1888.3532962046204,1757.074572477698,13.547347949777535
A100,dense-70b,llama-3-70b,8,0.5,1793.9457700770079,1757.3707813665358,11.039794853821085
A100,dense-70b,llama-3-70b,8,1,2054.3326357220417,1876.0664941196092,10.468365141992532
A100,dense-70b,llama-3-70b,8,1,1953.008368621064,1875.9079034538368,7.1425178719882245
A100,dense-70b,llama-3-70b,8,2,2067.2118794037942,1947.4392133149818,8.252549313803344
A100,dense-70b,llama-3-70b,8,2,1965.0537270021644,1949.740379482055,6.275671295461003
A100,dense-70b,llama-3-70b,8,4,2100.2142665615143,2180.6461507723548,8.628935651637324
A100,dense-70b,llama-3-70b,8,4,2001.1622423764456,2183.5495657871797,11.203862836782454
A100,dense-8b,deepseek-r1-distill-8b,1,0.125,124.931328125,167.3410573182272,34.282472784834916
A100,dense-8b,deepseek-r1-distill-8b,1,0.125,124.547159527732,166.36956699537794,35.229559971508756
A100,dense-8b,deepseek-r1-distill-8b,1,0.25,174.20787021154945,235.04012724614276,43.97904452367843
A100,dense-8b,deepseek-r1-distill-8b,1,0.25,173.68831903945113,233.97393417929533,42.43875649007015
A100,dense-8b,deepseek-r1-distill-8b,1,0.5,229.32431955922868,301.27494639833816,39.152269890535756
A100,dense-8b,deepseek-r1-distill-8b,1,0.5,230.64000413223144,301.2897109126451,37.32482944639995
A100,dense-8b,deepseek-r1-distill-8b,1,1,272.4289891598916,353.4949369410485,33.14346969303151
A100,dense-8b,deepseek-r1-distill-8b,1,1,271.4833726287263,353.07504890239204,33.57733446138523
A100,dense-8b,deepseek-r1-distill-8b,1,2,287.5937159586057,392.1064850418445,36.742290170145324
A100,dense-8b,deepseek-r1-distill-8b,1,2,287.49557189542486,391.69374114487556,36.79653748117222
A100,dense-8b,deepseek-r1-distill-8b,1,4,305.1227711323764,474.0036664602512,55.51410107040897
A100,dense-8b,deepseek-r1-distill-8b,1,4,304.90829611908555,472.59488206969866,55.212508678881925
A100,dense-8b,deepseek-r1-distill-8b,2,0.125,203.87666666666667,262.11663947043724,30.48093053344972
A100,dense-8b,deepseek-r1-distill-8b,2,0.125,204.9760708401977,261.8620859535042,29.87981713612566
A100,dense-8b,deepseek-r1-distill-8b,2,0.25,275.83481275014293,352.3425140101814,36.62207390293919
A100,dense-8b,deepseek-r1-distill-8b,2,0.25,276.4551057747284,352.49620154931085,36.58093297226583
A100,dense-8b,deepseek-r1-distill-8b,2,0.5,361.960705022075,442.36818496159214,31.697760640813712
A100,dense-8b,deepseek-r1-distill-8b,2,0.5,363.41268763796904,443.7369807620639,31.23369972031901
A100,dense-8b,deepseek-r1-distill-8b,2,1,457.5611832788671,532.5125398745068,24.24267209436665
A100,dense-8b,deepseek-r1-distill-8b,2,1,460.64550381263615,533.5951568879234,22.682567136728956
A100,dense-8b,deepseek-r1-distill-8b,2,2,508.7438265027323,575.1498769043441,14.47352287659663
A100,dense-8b,deepseek-r1-distill-8b,2,2,509.3839166666667,576.3034414386783,14.590355057155394
A100,dense-8b,deepseek-r1-distill-8b,2,4,531.9604380341881,664.0691215108266,24.848825180806017
A100,dense-8b,deepseek-r1-distill-8b,2,4,533.4544577991453,664.7500372573302,24.64761035322767
A100,dense-8b,deepseek-r1-distill-8b,4,0.125,352.19515788028554,436.5721187615602,26.066111157208883
A100,dense-8b,deepseek-r1-distill-8b,4,0.125,353.46573723229,438.14888888664143,26.142909227217963
A100,dense-8b,deepseek-r1-distill-8b,4,0.25,438.96502858776444,557.392138910236,33.75397564439319
A100,dense-8b,deepseek-r1-distill-8b,4,0.25,441.7260248713551,558.4941999137825,32.636276565778175
A100,dense-8b,deepseek-r1-distill-8b,4,0.5,549.2578876931567,661.358248437559,28.567017693698592
A100,dense-8b,deepseek-r1-distill-8b,4,0.5,553.3446371412805,665.7923931477015,28.02149158802826
A100,dense-8b,deepseek-r1-distill-8b,4,1,692.8551295690125,785.5045214643542,21.957150840439454
A100,dense-8b,deepseek-r1-distill-8b,4,1,694.536842607747,797.5557754626357,23.632405409506067
A100,dense-8b,deepseek-r1-distill-8b,4,2,793.1938218390804,848.3444683985541,10.790806738142557
A100,dense-8b,deepseek-r1-distill-8b,4,2,796.5831636562671,863.5032840374952,12.208201531436174
A100,dense-8b,deepseek-r1-distill-8b,4,4,849.952418274384,944.3757788132295,11.597830205224135
A100,dense-8b,deepseek-r1-distill-8b,4,4,852.5353175241158,958.840672277211,12.81339929873516
A100,dense-8b,deepseek-r1-distill-8b,8,0.125,655.5920318506315,770.16661444487,21.488112802596795
A100,dense-8b,deepseek-r1-distill-8b,8,0.125,655.1856905546402,768.0405231455318,21.02359633487057
A100,dense-8b,deepseek-r1-distill-8b,8,0.25,770.0043410520298,889.4383762450107,22.739752077598958
A100,dense-8b,deepseek-r1-distill-8b,8,0.25,778.581107775872,892.869549102816,22.330070815807456
A100,dense-8b,deepseek-r1-distill-8b,8,0.5,922.5601531456954,1005.7703417467228,19.27067097069437
A100,dense-8b,deepseek-r1-distill-8b,8,0.5,925.1126683222959,1005.9695136645884,19.54453158668829
A100,dense-8b,deepseek-r1-distill-8b,8,1,1117.840236338798,1144.1895952964924,16.143222481187895
A100,dense-8b,deepseek-r1-distill-8b,8,1,1118.8690286885244,1147.0701384344893,15.977456751931216
A100,dense-8b,deepseek-r1-distill-8b,8,2,1273.1376614668857,1218.7055884889407,9.874458634496158
A100,dense-8b,deepseek-r1-distill-8b,8,2,1268.0820265462507,1223.2206147556972,9.847904994946035
A100,dense-8b,deepseek-r1-distill-8b,8,4,1366.2014415862807,1321.1580963511344,5.9763640260141
A100,dense-8b,deepseek-r1-distill-8b,8,4,1360.7879555198285,1326.023465664343,5.6286573326484834
A100,moe-120b,gpt-oss-120b,4,0.125,323.12588275672704,373.0746609586405,19.598203634430803
A100,moe-120b,gpt-oss-120b,4,0.125,321.4906987918726,373.7493229516724,20.073018285203613
A100,moe-120b,gpt-oss-120b,4,0.25,383.2589175257732,434.62775964209294,22.32200196217033
A100,moe-120b,gpt-oss-120b,4,0.25,380.8059679266895,434.502336280121,22.81448181918306
A100,moe-120b,gpt-oss-120b,4,0.5,467.32828366445915,500.0973049042253,20.766506197799377
A100,moe-120b,gpt-oss-120b,4,0.5,464.6971633554084,500.35310581464546,21.012999063554123
A100,moe-120b,gpt-oss-120b,4,1,588.1126822916667,588.2938754097396,19.408426941676666
A100,moe-120b,gpt-oss-120b,4,1,581.2505482456141,587.3597762891443,20.139954311403088
A100,moe-120b,gpt-oss-120b,4,2,735.451166941241,661.9943655623655,14.525053701123616
A100,moe-120b,gpt-oss-120b,4,2,724.3721046128502,663.2364858651761,13.942527156733641
A100,moe-120b,gpt-oss-120b,4,4,932.4852394328518,796.1091223573562,14.799412160985955
A100,moe-120b,gpt-oss-120b,4,4,914.4498047084002,799.699280576812,12.749376968908226
A100,moe-120b,gpt-oss-120b,8,0.125,607.6795799011533,685.5543511759919,19.432068980658954
A100,moe-120b,gpt-oss-120b,8,0.125,605.7900947281714,683.6088619736645,19.21201467844329
A100,moe-120b,gpt-oss-120b,8,0.25,703.9271326472269,746.8447112247975,18.04440854033787
A100,moe-120b,gpt-oss-120b,8,0.25,702.0873926116839,744.8794714255985,18.13443717982294
A100,moe-120b,gpt-oss-120b,8,0.5,824.5767218543047,812.3709944555259,16.830746949892465
A100,moe-120b,gpt-oss-120b,8,0.5,819.0373551324503,810.4953777012236,16.26283916975092
A100,moe-120b,gpt-oss-120b,8,1,986.7954331140351,900.8478316894731,17.388467270360515
A100,moe-120b,gpt-oss-120b,8,1,976.1547409539475,898.9338355653798,16.191239925194417
A100,moe-120b,gpt-oss-120b,8,2,1178.5217586490937,981.8662229838127,17.623250570442256
A100,moe-120b,gpt-oss-120b,8,2,1151.7859294343768,980.8266828590973,15.986232399221038
A100,moe-120b,gpt-oss-120b,8,4,1408.5970064205458,1129.4430976403905,19.653725859645714
A100,moe-120b,gpt-oss-120b,8,4,1353.8384470304977,1133.1526128213043,16.264489076976723
A100,moe-20b,gpt-oss-20b,1,0.125,88.4669577155409,102.18721805301206,22.754651571770605
A100,moe-20b,gpt-oss-20b,1,0.125,88.24554914881934,102.17151094135278,23.00524785867435
A100,moe-20b,gpt-oss-20b,1,0.25,110.69396226415094,124.93223501019033,27.631867585904686
A100,moe-20b,gpt-oss-20b,1,0.25,111.43008433390509,125.1533969953592,27.94228401210207
A100,moe-20b,gpt-oss-20b,1,0.5,144.9686548013245,152.2812348659385,25.62471520161261
A100,moe-20b,gpt-oss-20b,1,0.5,143.78932809050772,152.06971990520756,25.77264998327263
A100,moe-20b,gpt-oss-20b,1,1,193.26904879385964,194.2647554822631,24.7615765288366
A100,moe-20b,gpt-oss-20b,1,1,192.7088637609649,194.25526625061903,24.194280120341077
A100,moe-20b,gpt-oss-20b,1,2,254.48444810543657,244.37366233855434,14.058560863869982
A100,moe-20b,gpt-oss-20b,1,2,250.40487369577156,244.9141491087636,13.715249600322135
A100,moe-20b,gpt-oss-20b,1,4,316.28021268057785,343.89147620417697,13.029495181398728
A100,moe-20b,gpt-oss-20b,1,4,313.2079440877475,346.33921477164137,14.198041962928349
A100,moe-20b,gpt-oss-20b,2,0.125,165.71509763476348,184.85162825505037,19.95665667617594
A100,moe-20b,gpt-oss-20b,2,0.125,163.68722679846238,184.08728155622185,20.081538522721658
A100,moe-20b,gpt-oss-20b,2,0.25,198.3188164665523,209.9943760216383,21.80947293823405
A100,moe-20b,gpt-oss-20b,2,0.25,195.22589347079037,209.2495998750874,21.784930577850584
A100,moe-20b,gpt-oss-20b,2,0.5,243.40192190949227,240.08800520334177,21.45153926945131
A100,moe-20b,gpt-oss-20b,2,0.5,241.1878366445916,239.87711046649616,21.566939492702794
A100,moe-20b,gpt-oss-20b,2,1,311.28251922020866,286.6457666509127,22.71719543494543
A100,moe-20b,gpt-oss-20b,2,1,306.91002059308073,286.66753403951327,21.919682489832763
A100,moe-20b,gpt-oss-20b,2,2,396.65018808347065,341.9466654812395,18.361511818697355
A100,moe-20b,gpt-oss-20b,2,2,386.76170373421195,342.9942618623054,17.440034203083783
A100,moe-20b,gpt-oss-20b,2,4,500.8058440514469,454.07677426213536,12.582439279830574
A100,moe-20b,gpt-oss-20b,2,4,484.5651192390139,456.5362055299667,11.11765739603634
H100,dense-405b,llama-3-405b,8,0.125,2384.7284969994544,2051.3348564653224,17.773485764388877
H100,dense-405b,llama-3-405b,8,0.125,2332.8552402777777,2025.4786200253634,18.290182807114817
H100,dense-405b,llama-3-405b,8,0.25,3081.298357591324,2524.8156007335797,23.17426743376328
H100,dense-405b,llama-3-405b,8,0.25,3056.5107962328766,2523.8928597213185,22.877652626917754
H100,dense-405b,llama-3-405b,8,0.5,3486.4517624521077,2774.3530647913117,22.10350440004326
H100,dense-405b,llama-3-405b,8,0.5,3470.6362041598245,2773.3092823548795,21.82965194527793
H100,dense-405b,llama-3-405b,8,1,3597.5801941362915,2906.5686859461803,19.163205896403348
H100,dense-405b,llama-3-405b,8,1,3586.5892723190705,2906.8576434339984,18.905910936954236
H100,dense-405b,llama-3-405b,8,2,3720.5478924731183,3049.462530122338,18.01544322863294
H100,dense-405b,llama-3-405b,8,2,3720.0593736559135,3051.065372367335,17.969478393873658
H100,dense-405b,llama-3-405b,8,4,4048.296518087855,3521.5088459004137,13.212019294440733
H100,dense-405b,llama-3-405b,8,4,4043.1323901808782,3523.51134237679,13.058245010756139
H100,dense-70b,deepseek-r1-distill-70b,4,0.125,907.6083935413246,1018.1802950389111,19.5036929573868
H100,dense-70b,deepseek-r1-distill-70b,4,0.125,910.2316830870278,1015.7748800875327,18.79014924376305
H100,dense-70b,deepseek-r1-distill-70b,4,0.25,1259.0102444253857,1388.5267248185046,21.699694870304455
H100,dense-70b,deepseek-r1-distill-70b,4,0.25,1259.0813722126932,1390.033121285563,21.976461523883874
H100,dense-70b,deepseek-r1-distill-70b,4,0.5,1608.5898322332234,1692.6968548033315,11.030728473038886
H100,dense-70b,deepseek-r1-distill-70b,4,0.5,1608.8944870737073,1691.5220460156115,10.836203561106684
H100,dense-70b,deepseek-r1-distill-70b,4,1,1797.0429677419356,1857.7276050045057,5.238764447600991
H100,dense-70b,deepseek-r1-distill-70b,4,1,1799.6854005376342,1857.56226428439,4.896562732147556
H100,dense-70b,deepseek-r1-distill-70b,4,2,1849.520879403794,1956.0490142603026,7.012529828641538
H100,dense-70b,deepseek-r1-distill-70b,4,2,1896.6112493224934,1947.2992850717221,4.8510961794268255
H100,dense-70b,deepseek-r1-distill-70b,4,4,1929.7331134807794,2129.5454789610117,10.703995480072232
H100,dense-70b,deepseek-r1-distill-70b,4,4,1956.525421274355,2130.9039818985625,9.44516833687135
H100,dense-70b,deepseek-r1-distill-70b,8,0.125,1442.9238802083332,1603.0084315079907,16.74394324062294
H100,dense-70b,deepseek-r1-distill-70b,8,0.125,1440.5372108004387,1597.000508813731,16.49116503851802
H100,dense-70b,deepseek-r1-distill-70b,8,0.25,1872.264651229274,2087.4961522523204,21.65615050893988
H100,dense-70b,deepseek-r1-distill-70b,8,0.25,1865.984432532876,2081.982711789459,22.05140840587214
H100,dense-70b,deepseek-r1-distill-70b,8,0.5,2424.85058084989,2586.6297962279946,17.282873550452077
H100,dense-70b,deepseek-r1-distill-70b,8,0.5,2418.396204470199,2592.82980356051,17.69056708835288
H100,dense-70b,deepseek-r1-distill-70b,8,1,2843.5408576839827,2903.598406472784,8.040935405380475
H100,dense-70b,deepseek-r1-distill-70b,8,1,2832.717808441558,2914.5755258238596,8.196502426358663
H100,dense-70b,deepseek-r1-distill-70b,8,2,2980.671247276688,3015.46205482968,4.4191084194641785
H100,dense-70b,deepseek-r1-distill-70b,8,2,2980.3719458061005,3017.601992604731,4.351125836263841
H100,dense-70b,deepseek-r1-distill-70b,8,4,3004.6299190552018,3151.5809739910915,6.013127271772674
H100,dense-70b,deepseek-r1-distill-70b,8,4,3000.8151406581737,3151.0069466741757,6.101171492200454
H100,dense-70b,llama-3-70b,4,0.125,850.6758319536424,978.8023959621695,23.04148773199531
H100,dense-70b,llama-3-70b,4,0.125,850.527607615894,975.7951964926162,23.289929837873995
H100,dense-70b,llama-3-70b,4,0.25,1209.9948045091323,1371.39230032124,25.661483582569357
H100,dense-70b,llama-3-70b,4,0.25,1208.996954908676,1367.2629344608472,25.056659254794155
H100,dense-70b,llama-3-70b,4,0.5,1611.8088655115512,1723.186976376795,13.248887690059997
H100,dense-70b,llama-3-70b,4,0.5,1611.0335148514853,1722.4428699439088,12.925856382610784
H100,dense-70b,llama-3-70b,4,1,1820.4351545698926,1898.7571150425092,6.1053775317160115
H100,dense-70b,llama-3-70b,4,1,1818.3003077956992,1900.3887466680671,6.527561803505669
H100,dense-70b,llama-3-70b,4,2,1878.058475609756,1996.5321067129685,7.163218112751697
H100,dense-70b,llama-3-70b,4,2,1892.9451571815719,1940.9543388251684,4.5633493678584784
H100,dense-70b,llama-3-70b,4,4,1954.1798866033757,2158.0744768903282,10.627811722730945
H100,dense-70b,llama-3-70b,4,4,2003.2784493670886,2121.2624260010925,6.976776261660136
H100,dense-70b,llama-3-70b,8,0.125,1378.897580287929,1533.1850827766266,17.47907994385999
H100,dense-70b,llama-3-70b,8,0.125,1375.5606160022148,1539.7218050864344,18.56004291610509
H100,dense-70b,llama-3-70b,8,0.25,1830.5114136649515,2038.2208870891736,23.23870263470262
H100,dense-70b,llama-3-70b,8,0.25,1842.7889308176102,2048.934914565764,24.167478499288986
H100,dense-70b,llama-3-70b,8,0.5,2436.817896039604,2569.0141013605416,16.100602189685194
H100,dense-70b,llama-3-70b,8,0.5,2416.6333622589536,2574.625846956025,16.319634458130903
H100,dense-70b,llama-3-70b,8,1,2851.1814772727275,2893.075602832091,8.710861058045086
H100,dense-70b,llama-3-70b,8,1,2846.3822930194806,2886.342622104686,8.374567035528543
H100,dense-70b,llama-3-70b,8,2,3006.0439161220047,3008.3742359830403,4.347851445804271
H100,dense-70b,llama-3-70b,8,2,2983.012376089325,3008.578244314712,4.245499803655525
H100,dense-70b,llama-3-70b,8,4,3039.3654020700637,3127.6215668930918,4.853489280975057
H100,dense-70b,llama-3-70b,8,4,3005.893765923567,3127.2765441121046,5.405288413594338
H100,dense-8b,deepseek-r1-distill-8b,1,0.125,167.870255354201,226.60890963103338,38.596265087745955
H100,dense-8b,deepseek-r1-distill-8b,1,0.125,168.6225205930807,226.00240699833716,38.506159007897445
H100,dense-8b,deepseek-r1-distill-8b,1,0.25,224.4889736992567,310.91863321154295,50.89767400609841
H100,dense-8b,deepseek-r1-distill-8b,1,0.25,225.0787121212121,311.42016603655054,50.545357517445666
H100,dense-8b,deepseek-r1-distill-8b,1,0.5,292.5990562913907,394.8479742550708,49.82770008277141
H100,dense-8b,deepseek-r1-distill-8b,1,0.5,292.41974613686534,393.8623025111516,50.28697200128528
H100,dense-8b,deepseek-r1-distill-8b,1,1,375.72465958605665,486.1467297775757,41.8135181511111
H100,dense-8b,deepseek-r1-distill-8b,1,1,375.85335239651414,486.255302223168,42.013347834697264
H100,dense-8b,deepseek-r1-distill-8b,1,2,430.97589890710384,536.6967346385524,27.53688414664054
H100,dense-8b,deepseek-r1-distill-8b,1,2,430.28633333333335,536.407126276799,27.62458980130093
H100,dense-8b,deepseek-r1-distill-8b,1,4,466.0123033707866,622.1103997450348,33.42256732910936
H100,dense-8b,deepseek-r1-distill-8b,1,4,465.34804842161583,621.8346088177138,33.531654074230254
H100,dense-8b,deepseek-r1-distill-8b,2,0.125,301.6358209774849,375.7715733944313,29.427419643669616
H100,dense-8b,deepseek-r1-distill-8b,2,0.125,301.5315499725425,376.51394419565685,29.868972588794705
H100,dense-8b,deepseek-r1-distill-8b,2,0.25,373.5712864493997,483.4158346514246,40.56175698098283
H100,dense-8b,deepseek-r1-distill-8b,2,0.25,372.06129502572895,485.2151164268484,41.15317186525956
H100,dense-8b,deepseek-r1-distill-8b,2,0.5,467.600896799117,584.6252744801287,38.23255398344678
H100,dense-8b,deepseek-r1-distill-8b,2,0.5,468.3758388520971,586.155398628236,38.35784807179865
H100,dense-8b,deepseek-r1-distill-8b,2,1,594.1338743169399,714.3341904166168,33.97736988456182
H100,dense-8b,deepseek-r1-distill-8b,2,1,595.0429603825136,716.4221921992088,34.40597218671039
H100,dense-8b,deepseek-r1-distill-8b,2,2,704.5297359058566,788.2252436312244,16.553540497104507
H100,dense-8b,deepseek-r1-distill-8b,2,2,703.8623508483854,788.2423455320893,16.77000127391582
H100,dense-8b,deepseek-r1-distill-8b,2,4,768.8211602357985,878.6908002678837,14.633117783036163
H100,dense-8b,deepseek-r1-distill-8b,2,4,769.0141170953912,879.3587268494499,14.691480114087591
H100,dense-8b,deepseek-r1-distill-8b,4,0.125,542.477699066447,664.228258797606,25.785692406674887
H100,dense-8b,deepseek-r1-distill-8b,4,0.125,542.9274615595825,665.1212361291527,25.86732365767729
H100,dense-8b,deepseek-r1-distill-8b,4,0.25,626.6806546598056,789.0568995076203,34.033055456492306
H100,dense-8b,deepseek-r1-distill-8b,4,0.25,625.4875142938822,790.2489850619484,34.111830748522635
H100,dense-8b,deepseek-r1-distill-8b,4,0.5,748.1513921081677,926.1024247402208,33.997697117068135
H100,dense-8b,deepseek-r1-distill-8b,4,0.5,749.4931650110376,925.7232192789406,33.520158989909135
H100,dense-8b,deepseek-r1-distill-8b,4,1,923.4623385331142,1085.0410114213068,31.675762724348232
H100,dense-8b,deepseek-r1-distill-8b,4,1,922.3924370552818,1088.5182338439276,32.07943583581407
H100,dense-8b,deepseek-r1-distill-8b,4,2,1110.1686746162281,1194.7778495450102,16.047927193022936
H100,dense-8b,deepseek-r1-distill-8b,4,2,1108.1383552631578,1199.8998643207226,16.705158775739367
H100,dense-8b,deepseek-r1-distill-8b,4,4,1261.4628260869565,1296.9441666864147,6.693357526643304
H100,dense-8b,deepseek-r1-distill-8b,4,4,1258.524832259796,1303.1579403626279,7.0431613095522385
H100,dense-8b,deepseek-r1-distill-8b,8,0.125,1038.8581781987918,1225.4904652409227,19.736782706640323
H100,dense-8b,deepseek-r1-distill-8b,8,0.125,1031.3319302580999,1227.7204990560451,20.808879359661308
H100,dense-8b,deepseek-r1-distill-8b,8,0.25,1141.4160906232132,1353.3395953018353,24.27633453838702
H100,dense-8b,deepseek-r1-distill-8b,8,0.25,1134.3857632933104,1355.144765023592,25.398334395730693
H100,dense-8b,deepseek-r1-distill-8b,8,0.5,1297.332982891832,1507.8356443189004,24.35389175006891
H100,dense-8b,deepseek-r1-distill-8b,8,0.5,1287.9708002207506,1509.854608925549,25.097323777004966
H100,dense-8b,deepseek-r1-distill-8b,8,1,1522.695491242474,1695.5698357499675,23.35056738798446
H100,dense-8b,deepseek-r1-distill-8b,8,1,1515.530134099617,1689.7703095175254,23.3195392834388
H100,dense-8b,deepseek-r1-distill-8b,8,2,1781.3479495614038,1820.8172142125914,14.504541218412525
H100,dense-8b,deepseek-r1-distill-8b,8,2,1774.0449890350876,1825.0783491491563,14.626834203008626
H100,dense-8b,deepseek-r1-distill-8b,8,4,2009.5895362903225,1918.7599558905579,7.915663668552448
H100,dense-8b,deepseek-r1-distill-8b,8,4,2005.5826129032257,1926.3594924718766,7.612558505447894
H100,dense-8b,llama-3-8b,1,0.125,164.9897981878089,227.4518269410203,41.80177950368484
H100,dense-8b,llama-3-8b,1,0.125,169.5533319604613,227.2237804633879,38.62107925268147
H100,dense-8b,llama-3-8b,1,0.25,222.08132361349342,308.57546836822763,53.499071181913685
H100,dense-8b,llama-3-8b,1,0.25,226.7229245283019,308.5366918191053,50.46096262924817
H100,dense-8b,llama-3-8b,1,0.5,288.3249020419426,391.74343700233374,51.10127281689331
H100,dense-8b,llama-3-8b,1,0.5,294.1686782560706,390.4572026974539,47.4752858966557
H100,dense-8b,llama-3-8b,1,1,369.77939270152507,482.2102773812673,42.79213011342329
H100,dense-8b,llama-3-8b,1,1,376.6637894880174,482.5508562376059,39.69253503858877
H100,dense-8b,llama-3-8b,1,2,432.8833920765027,531.1029580511632,25.457996187561115
H100,dense-8b,llama-3-8b,1,2,430.5497732240437,533.1004304900229,26.824083156247703
H100,dense-8b,llama-3-8b,1,4,463.1992683253076,619.532834204587,33.75199284599845
H100,dense-8b,llama-3-8b,1,4,463.9117041198501,620.9745526923649,33.86549865476755
H100,dense-8b,llama-3-8b,2,0.125,300.80202498627125,378.2903342435193,30.83832216793268
H100,dense-8b,llama-3-8b,2,0.125,301.0022267984624,378.5123088989512,31.177744009032644
H100,dense-8b,llama-3-8b,2,0.25,372.8913736420812,486.21755253550344,41.66738515613755
H100,dense-8b,llama-3-8b,2,0.25,373.80070325900516,486.4779715781217,40.744033455320455
H100,dense-8b,llama-3-8b,2,0.5,472.066928807947,588.9828123011264,39.57254502626912
H100,dense-8b,llama-3-8b,2,0.5,470.5675965783664,589.1447542739513,39.53328455179194
H100,dense-8b,llama-3-8b,2,1,597.7972896174864,717.7054606293033,34.61730359352401
H100,dense-8b,llama-3-8b,2,1,596.2615724043717,720.1315685029797,35.452666916495225
H100,dense-8b,llama-3-8b,2,2,709.416607827039,791.8756009387909,16.540303772871294
H100,dense-8b,llama-3-8b,2,2,710.431658456486,794.1392433240595,16.633544389243845
H100,dense-8b,llama-3-8b,2,4,773.8895994105038,888.8165763384892,15.29515105472056
H100,dense-8b,llama-3-8b,2,4,773.6774959807075,887.4485025077421,14.983269182064088
H100,dense-8b,llama-3-8b,4,0.125,554.3498531026909,671.8943400229861,24.392577381120475
