timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_perc,prompt_tokens_total,generation_tokens_total,iteration_tokens_total_sum,iteration_tokens_total_count,request_prefill_time_seconds_sum,request_decode_time_seconds_sum,num_preemptions_total,prefix_cache_queries_total,prefix_cache_hits_total
1784658665.217772,3.0,0.0,0.1335114016903205,776488.0,20208.0,796696.0,3933.0,21.369661131873727,400.24290742818266,0.0,776488.0,676832.0
1784658665.4766881,3.0,0.0,0.13363099984053584,776488.0,20253.0,796741.0,3948.0,21.369661131873727,400.24290742818266,0.0,776488.0,676832.0
1784658665.7350476,3.0,0.0,0.13375059799075106,776488.0,20295.0,796783.0,3962.0,21.369661131873727,400.24290742818266,0.0,776488.0,676832.0
1784658665.9917638,3.0,0.0,0.1338701961409664,776488.0,20340.0,796828.0,3977.0,21.369661131873727,400.24290742818266,0.0,776488.0,676832.0
1784658666.2497888,3.0,0.0,0.13398979429118163,776488.0,20382.0,796870.0,3991.0,21.369661131873727,400.24290742818266,0.0,776488.0,676832.0
1784658666.5085812,3.0,0.0,0.13410939244139686,776488.0,20427.0,796915.0,4006.0,21.369661131873727,400.24290742818266,0.0,776488.0,676832.0
1784658666.7672386,3.0,0.0,0.1342289905916122,776488.0,20472.0,796960.0,4021.0,21.369661131873727,400.24290742818266,0.0,776488.0,676832.0
1784658667.0261025,3.0,0.0,0.13430872269175576,776488.0,20514.0,797002.0,4035.0,21.369661131873727,400.24290742818266,0.0,776488.0,676832.0
1784658667.2816877,3.0,0.0,0.13442832084197098,776488.0,20559.0,797047.0,4050.0,21.369661131873727,400.24290742818266,0.0,776488.0,676832.0
1784658667.5397835,3.0,0.0,0.13450805294211454,776488.0,20601.0,797089.0,4064.0,21.369661131873727,400.24290742818266,0.0,776488.0,676832.0
1784658667.7980738,3.0,0.0,0.13462765109232977,776488.0,20646.0,797134.0,4079.0,21.369661131873727,400.24290742818266,0.0,776488.0,676832.0
1784658668.0564744,2.0,0.0,0.11254185935257532,776488.0,20678.0,797166.0,4091.0,21.48255282174796,404.49957112781703,0.0,776488.0,676832.0
1784658668.3106842,3.0,0.0,0.1352655078934779,785609.0,20717.0,806326.0,4104.0,21.48255282174796,404.49957112781703,0.0,785609.0,685520.0
1784658668.5694656,3.0,0.0,0.13538510604369314,785609.0,20762.0,806371.0,4119.0,21.48255282174796,404.49957112781703,0.0,785609.0,685520.0
1784658668.8284926,3.0,0.0,0.13550470419390848,785609.0,20807.0,806416.0,4134.0,21.48255282174796,404.49957112781703,0.0,785609.0,685520.0
1784658669.0874846,3.0,0.0,0.1356243023441237,785609.0,20849.0,806458.0,4148.0,21.48255282174796,404.49957112781703,0.0,785609.0,685520.0
1784658669.3458838,2.0,0.0,0.1129405198532929,785609.0,20894.0,806503.0,4163.0,21.560427544638515,405.76297249644995,0.0,785609.0,685520.0
1784658669.6036496,2.0,0.0,0.11302025195343646,785609.0,20924.0,806533.0,4178.0,21.560427544638515,405.76297249644995,0.0,785609.0,685520.0
1784658669.8606777,2.0,0.0,0.11309998405358002,785609.0,20956.0,806565.0,4194.0,21.560427544638515,405.76297249644995,0.0,785609.0,685520.0
1784658670.1190605,3.0,0.0,0.1360229628448414,794824.0,20988.0,815812.0,4206.0,21.560427544638515,405.76297249644995,0.0,794824.0,694640.0
