run_id,model,hardware,family,tp,rate,role,surface_supported,interpolated_power_bins,seconds,energy_error_pct,rmse_w_per_gpu,nrmse_range,ks_agreement,acf_r2
103,deepseek-r1-distill-8b,A100,dense-8b,2,2.0,heldout_tp,True,15,610,3.708539767714025,12.935831324817725,0.05625466843436454,0.1262295081967213,0.9772183138258643
104,deepseek-r1-distill-8b,A100,dense-8b,2,2.0,heldout_tp,True,19,610,4.010816525002302,13.225314163346903,0.05844215761706094,0.1262295081967213,0.9750077241710685
105,deepseek-r1-distill-8b,A100,dense-8b,2,4.0,heldout_tp,True,14,624,4.271696218683232,13.730357513277397,0.0574122609964399,0.125,-9.451546198534663
106,deepseek-r1-distill-8b,A100,dense-8b,2,4.0,heldout_tp,True,19,624,4.539585344847117,14.515630150692788,0.06673316009375209,0.11538461538461542,-11.763492173028117
107,deepseek-r1-distill-8b,A100,dense-8b,2,4.0,heldout_tp,True,14,624,4.401678396716101,14.087674799128038,0.058025010885616395,0.09935897435897434,-4.156505044821681
108,deepseek-r1-distill-8b,A100,dense-8b,4,0.125,train,True,42,607,1.1105740390271404,9.237218495230803,0.060573414069072136,0.443163097199341,0.9872891629614305
109,deepseek-r1-distill-8b,A100,dense-8b,4,0.125,train,True,40,607,0.785965019175794,9.004839115206279,0.061374050957090844,0.44810543657331137,0.9872955167008459
110,deepseek-r1-distill-8b,A100,dense-8b,4,0.125,train,True,44,607,0.677030382020512,9.781274242026706,0.06638545372009004,0.4546952224052718,0.9875153052136116
111,deepseek-r1-distill-8b,A100,dense-8b,4,0.25,heldout_rate,True,32,583,0.6398905956584798,14.892246885687372,0.1031323500235875,0.6535162950257289,0.9757458292497545
112,deepseek-r1-distill-8b,A100,dense-8b,4,0.25,heldout_rate,True,39,583,0.7617071144298152,11.59823833055578,0.07905924519709925,0.6672384219554031,0.994844209474118
113,deepseek-r1-distill-8b,A100,dense-8b,4,0.25,heldout_rate,True,37,583,1.2740866146374543,12.210102938058103,0.08255263954470013,0.6689536878216124,0.9950363651842834
114,deepseek-r1-distill-8b,A100,dense-8b,4,0.5,train,True,28,604,1.2270512419620447,13.011008687043148,0.0885411321092766,0.7119205298013245,0.9801224969255817
115,deepseek-r1-distill-8b,A100,dense-8b,4,0.5,train,True,30,604,0.5665357547747952,13.101980590966098,0.08728616434276967,0.804635761589404,0.9869096193829073
116,deepseek-r1-distill-8b,A100,dense-8b,4,0.5,train,True,28,604,0.9572551538793627,12.81541082917408,0.08530846494900708,0.7963576158940397,0.9877402488751099
117,deepseek-r1-distill-8b,A100,dense-8b,4,1.0,heldout_rate,True,24,611,1.0260342932077526,11.733380830031765,0.0779205965552264,0.5990180032733223,0.9842525529912906
118,deepseek-r1-distill-8b,A100,dense-8b,4,1.0,heldout_rate,True,25,611,0.8103729540445614,11.058968327437496,0.07359490462423367,0.7119476268412438,0.9867779978969548
119,deepseek-r1-distill-8b,A100,dense-8b,4,1.0,heldout_rate,True,22,611,0.8698726013860032,12.494303447101908,0.08347726719210163,0.7119476268412439,0.9805499168589432
120,deepseek-r1-distill-8b,A100,dense-8b,4,2.0,train,True,20,609,1.3066578887244307,8.99295654572488,0.05812806460969041,0.45648604269293913,0.9794515535316143
121,deepseek-r1-distill-8b,A100,dense-8b,4,2.0,train,True,18,609,0.8830657645632323,8.582523349575354,0.05679864232637405,0.6141215106732348,0.9761159293415322
122,deepseek-r1-distill-8b,A100,dense-8b,4,2.0,train,True,16,609,0.7626415690990354,8.304261169250655,0.05510001605208992,0.6124794745484401,0.9803119195033806
123,deepseek-r1-distill-8b,A100,dense-8b,4,4.0,heldout_rate,True,13,623,0.012996836449841072,6.343435795680664,0.0416558818682829,0.7656500802568218,-0.7620498870951866
124,deepseek-r1-distill-8b,A100,dense-8b,4,4.0,heldout_rate,True,11,623,0.27629054344450604,4.966408168330411,0.037065686501861615,0.8057784911717496,0.7506723948598193
125,deepseek-r1-distill-8b,A100,dense-8b,4,4.0,heldout_rate,True,16,623,0.7957485511172866,5.425297706303455,0.04016990906774581,0.6468699839486356,0.7219942432624439
126,deepseek-r1-distill-8b,A100,dense-8b,8,0.125,heldout_tp,True,45,607,0.6236619182592565,12.832521840541258,0.13019060567738253,0.38879736408566723,0.921065053180771
127,deepseek-r1-distill-8b,A100,dense-8b,8,0.125,heldout_tp,True,37,607,0.6887615216572002,8.954236131907809,0.09190783933393432,0.40362438220757824,0.9662170199092306
128,deepseek-r1-distill-8b,A100,dense-8b,8,0.125,heldout_tp,True,43,607,0.5548171486435896,9.84323918337126,0.10102753668223653,0.41515650741350907,0.9685769514169782
129,deepseek-r1-distill-8b,A100,dense-8b,8,0.25,heldout_tp,True,39,583,0.03958440638246552,14.565511341459557,0.14425181373906384,0.6380789022298456,0.9299749541074813
130,deepseek-r1-distill-8b,A100,dense-8b,8,0.25,heldout_tp,True,25,583,0.3223248662222548,13.153611069125004,0.13311687356483107,0.6518010291595198,0.9463729750126239
131,deepseek-r1-distill-8b,A100,dense-8b,8,0.25,heldout_tp,True,32,583,0.18097995981499676,12.479679986995077,0.12574064055310125,0.646655231560892,0.952325383455587
132,deepseek-r1-distill-8b,A100,dense-8b,8,0.5,heldout_tp,True,24,604,0.9324753337428972,14.899070491347143,0.14893997223542726,0.7235099337748344,0.9545008698336981
133,deepseek-r1-distill-8b,A100,dense-8b,8,0.5,heldout_tp,True,27,604,0.7291317176640005,15.77745648506825,0.1565398567307174,0.7251655629139073,0.949851916542304
134,deepseek-r1-distill-8b,A100,dense-8b,8,0.5,heldout_tp,True,30,604,0.5241521931839787,14.969857519279529,0.14994645542692148,0.7301324503311257,0.9194426658207913
135,deepseek-r1-distill-8b,A100,dense-8b,8,1.0,heldout_tp,True,22,611,1.8240741555663902,14.781372268698034,0.14044893182443516,0.5237315875613748,0.9642615318801588
136,deepseek-r1-distill-8b,A100,dense-8b,8,1.0,heldout_tp,True,22,611,1.649855747562541,13.272025096089255,0.13090113426071193,0.5073649754500819,0.9621333972614021
137,deepseek-r1-distill-8b,A100,dense-8b,8,1.0,heldout_tp,True,21,611,1.8711115193473613,12.357476950149026,0.12082302510472889,0.513911620294599,0.9674197208614114
138,deepseek-r1-distill-8b,A100,dense-8b,8,2.0,heldout_tp,True,15,609,3.0217734635435716,12.532400117423522,0.11343399193237273,0.3004926108374384,0.939899075586828
139,deepseek-r1-distill-8b,A100,dense-8b,8,2.0,heldout_tp,True,15,609,3.765408153488675,11.190172580019468,0.10860884148734905,0.27257799671592775,0.9683141510833071
140,deepseek-r1-distill-8b,A100,dense-8b,8,2.0,heldout_tp,True,24,609,3.390273392124715,11.227821193952696,0.10808193096963001,0.2791461412151067,0.9617075220029532
141,deepseek-r1-distill-8b,A100,dense-8b,8,4.0,heldout_tp,True,17,622,3.110406998777127,7.709499344951721,0.08155099054210617,0.17845659163987138,0.37279618065350173
142,deepseek-r1-distill-8b,A100,dense-8b,8,4.0,heldout_tp,True,16,622,3.5504023019506037,7.561779784022294,0.08221559971755599,0.07717041800643076,0.7553701099211287
143,deepseek-r1-distill-8b,A100,dense-8b,8,4.0,heldout_tp,True,21,622,3.3275222271671336,7.2815171062180255,0.0800191446160679,0.09485530546623788,0.7295160212871841
144,deepseek-r1-distill-8b,H100,dense-8b,1,0.125,heldout_model,True,24,608,0.9321153849604507,9.804744994966162,0.029893198762063557,0.368421052631579,0.9989391841776714
145,deepseek-r1-distill-8b,H100,dense-8b,1,0.125,heldout_model,True,16,608,0.47088138863859136,8.755851146775735,0.026802531978620387,0.41940789473684215,0.9993944008972026
146,deepseek-r1-distill-8b,H100,dense-8b,1,0.125,heldout_model,True,19,608,0.784414815681655,9.774884947179979,0.02952200947487942,0.4046052631578947,0.998714273218207
147,deepseek-r1-distill-8b,H100,dense-8b,1,0.25,heldout_model,True,17,583,0.7019859627880733,11.851717686113403,0.03511672079916256,0.7084048027444254,0.9990860397721911
148,deepseek-r1-distill-8b,H100,dense-8b,1,0.25,heldout_model,True,21,583,0.5256761514768176,14.59236254711511,0.04329435557666538,0.7307032590051459,0.9991874059602044
149,deepseek-r1-distill-8b,H100,dense-8b,1,0.25,heldout_model,True,14,583,0.6790437647674832,11.607542006670672,0.03462870527049712,0.6483704974271012,0.9995137090444436
150,deepseek-r1-distill-8b,H100,dense-8b,1,0.5,heldout_model,True,13,605,0.047386970903683094,14.314231923910656,0.04187498825860798,0.8413223140495868,0.9987299577012757
151,deepseek-r1-distill-8b,H100,dense-8b,1,0.5,heldout_model,True,20,605,0.0009567410529865138,14.434847605685531,0.04282543328221172,0.8479338842975206,0.9977910461574828
152,deepseek-r1-distill-8b,H100,dense-8b,1,0.5,heldout_model,True,17,605,0.30730610780890694,13.186682509521393,0.039069336660113044,0.8710743801652893,0.9981209597351266
153,deepseek-r1-distill-8b,H100,dense-8b,1,1.0,heldout_model,True,12,612,0.892226734357139,14.660186896440502,0.04167874765329882,0.7156862745098038,0.9976372220895804
154,deepseek-r1-distill-8b,H100,dense-8b,1,1.0,heldout_model,True,14,612,0.9463889166971884,13.565369162318252,0.03835275420502746,0.7205882352941176,0.9967057768102934
155,deepseek-r1-distill-8b,H100,dense-8b,1,1.0,heldout_model,True,12,612,0.8432046721280125,13.83484153697225,0.03947736206868943,0.7401960784313726,0.9984538921372461
156,deepseek-r1-distill-8b,H100,dense-8b,1,2.0,heldout_model,True,10,610,2.0424032899053706,13.979578317300417,0.03943713865421748,0.5524590163934426,0.9940347989163458
157,deepseek-r1-distill-8b,H100,dense-8b,1,2.0,heldout_model,True,14,610,1.8969807563397258,13.991421167885134,0.03966693694869222,0.5672131147540984,0.993118825490169
158,deepseek-r1-distill-8b,H100,dense-8b,1,2.0,heldout_model,True,9,610,1.7742260233284874,13.420076320929898,0.03794224251211801,0.5754098360655737,0.9921040641306043
159,deepseek-r1-distill-8b,H100,dense-8b,1,4.0,heldout_model,True,11,624,4.087384313798956,20.67137220298428,0.060825882984843725,0.2628205128205128,0.8631569703366816
