Request Time,Model,Data Source,Poisson Arrival Rate,Tensor Parallel Size,Input Tokens,Output Tokens,E2E Latency,Batch Size,Effective Batch Size,Prefill Tokens,Decode Tokens,Prefill Time,Decode Time,Prefill Throughput,Decode Throughput
2025-04-28T00:45:21.512195,meta-llama/Llama-3.1-70B-Instruct,reclor,0.125,8,266,76,1.5368590354919434,1.0,5.897435897435898,306.0,154.0,0.04798130999552086,1.4643680290027987,6377.483233129017,105.16481987446181
2025-04-28T00:45:20.851310,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,60,424,7.967159032821655,0.0,2.1367924528301887,406.0,500.0,0.0822296499973163,9.380739383996115,4937.391804698797,53.300702592059885
2025-04-28T00:45:42.492436,meta-llama/Llama-3.1-70B-Instruct,reclor,0.125,8,220,206,3.8640732765197754,0.0,2.262135922330097,260.0,206.0,0.04882070700114127,3.798175719988649,5325.609069813799,54.23656386298411
2025-04-28T00:45:50.949446,meta-llama/Llama-3.1-70B-Instruct,reclor,0.125,8,130,81,1.619659185409546,1.0,4.024096385542169,170.0,164.0,0.0318349900044268,1.562298593999003,5340.036229832669,104.97353107142632
2025-04-28T00:45:46.421274,meta-llama/Llama-3.1-70B-Instruct,guanaco,0.125,8,66,722,13.470449447631836,0.0,1.494459833795014,276.0,803.0,0.05981238200911321,14.986576775991125,4614.429165485296,53.58128223694328
2025-04-28T00:46:04.292879,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,24,90,1.6683893203735352,0.0,1.711111111111111,64.0,90.0,0.027333705002092756,1.6252262960042572,2341.4315766962422,55.37690364798543
2025-04-28T00:46:12.661238,meta-llama/Llama-3.1-70B-Instruct,scienceqa,0.125,8,47,138,2.720625400543213,1.0,2.607142857142857,87.0,278.0,0.024038774994551204,2.673741267004516,3619.1528070677487,103.97415914197747
2025-04-28T00:46:06.819426,meta-llama/Llama-3.1-70B-Instruct,guanaco,0.125,8,15,592,11.055923461914062,0.0,1.472972972972973,142.0,730.0,0.04855276600574143,13.691070569999283,2924.653149178119,53.31942423842449
2025-04-28T00:46:17.956444,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,62,234,4.343954086303711,0.0,1.435897435897436,102.0,234.0,0.029229712003143504,4.297064794998732,3489.599897153637,54.455776480808
2025-04-28T00:46:23.415724,meta-llama/Llama-3.1-70B-Instruct,reclor,0.125,8,239,93,1.8706696033477783,1.0,4.91578947368421,279.0,188.0,0.04126994399121031,1.8058276870142436,6760.367788708933,104.1073859659552
2025-04-28T00:46:32.355947,meta-llama/Llama-3.1-70B-Instruct,airoboros,0.125,8,669,247,4.9963788986206055,2.0,5.357429718875502,795.0,539.0,0.09755355599918403,4.8650676929974,8149.369767788369,110.78982534524995
2025-04-28T00:46:23.229062,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,92,1092,21.43793034553528,2.0,3.2023809523809526,1312.0,2185.0,0.16798570098762866,28.064040285011288,7810.188559421629,77.85764194355814
2025-04-28T00:46:36.445730,meta-llama/Llama-3.1-70B-Instruct,airoboros,0.125,8,47,437,8.944366455078125,1.0,3.3416856492027334,193.0,1274.0,0.15245193599548656,35.15237694401003,1265.972771941144,36.24221491562862
2025-04-28T00:46:55.242958,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,21,96,1.935739278793335,1.0,2.6020408163265305,61.0,194.0,0.027122728002723306,1.8789021889970172,2249.0363061516227,103.25178241639058
2025-04-28T00:47:17.964173,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,513,145,3.1152400970458984,3.0,7.7482993197278915,553.0,586.0,0.08548502100165933,2.9934226040059,6468.969575257703,195.76253590648872
2025-04-28T00:47:22.920058,meta-llama/Llama-3.1-70B-Instruct,reclor,0.125,8,150,114,2.3757710456848145,3.0,6.525862068965517,296.0,461.0,0.03718236200802494,2.3029657209990546,7960.763760411868,200.17666602523835
2025-04-28T00:47:17.699802,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,200,383,8.002229928970337,2.0,6.425974025974026,1089.0,1385.0,0.16626877001544926,13.22453019200475,6549.636470509843,104.72961836007903
2025-04-28T00:47:13.139183,meta-llama/Llama-3.1-70B-Instruct,airoboros,0.125,8,50,629,12.876680850982666,1.0,4.839936608557845,1179.0,1875.0,0.19452437601285055,26.05473219099804,6060.937061801003,71.96389455301392
2025-04-28T00:47:29.481448,meta-llama/Llama-3.1-70B-Instruct,reclor,0.125,8,185,106,2.1998987197875977,2.0,7.775700934579439,532.0,300.0,0.04063543300435413,2.141919973990298,13092.022421491009,140.0612551556321
2025-04-28T00:47:29.863153,meta-llama/Llama-3.1-70B-Instruct,tigerbot-kaggle,0.125,8,267,493,9.892215251922607,2.0,3.4909090909090907,538.0,1190.0,0.0887861940136645,11.956235797988484,6059.500646206323,99.52965298662022
2025-04-28T00:47:37.398557,meta-llama/Llama-3.1-70B-Instruct,reclor,0.125,8,191,123,2.553091049194336,1.0,4.752,231.0,363.0,0.0891324469994288,12.294557272005477,2591.6488077734516,29.525259996677192
2025-04-28T00:47:45.643182,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,25,77,1.5696544647216797,1.0,2.7974683544303796,65.0,156.0,0.02513622699189,1.5207172960072057,2585.9091748722562,102.58316940932643
2025-04-28T00:46:37.410808,meta-llama/Llama-3.1-70B-Instruct,airoboros,0.125,8,66,1690,78.18599653244019,1.0,2.2876204595997036,2246.0,7012.0,0.45546178401855286,106.81859354399785,4931.258952580994,65.6440022973323
2025-04-28T00:47:53.957051,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,32,200,3.9164860248565674,1.0,3.4554455445544554,357.0,341.0,0.050912204023916274,36.49896954698488,7012.071208551439,9.342729513528676
2025-04-28T00:47:56.700494,meta-llama/Llama-3.1-70B-Instruct,leetcode_ne,0.125,8,245,442,8.508456468582153,1.0,2.475225225225225,397.0,702.0,0.06790344401088078,12.30646444899321,5846.537031853423,57.043190829469346
2025-04-28T00:48:01.243834,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,72,947,17.781628608703613,0.0,1.3287671232876712,112.0,1149.0,0.06999320999602787,26.17450709900004,1600.1552151466694,43.89767477393666
2025-04-28T00:48:19.255588,meta-llama/Llama-3.1-70B-Instruct,airoboros,0.125,8,913,60,1.2439820766448975,0.0,16.883333333333333,953.0,60.0,0.12712458599708043,1.095678523008246,7496.582919230799,54.760587836719374
2025-04-28T00:48:21.597580,meta-llama/Llama-3.1-70B-Instruct,MATH/PRM-800K,0.125,8,16,260,4.7864460945129395,0.0,1.2153846153846153,56.0,260.0,0.024191998993046582,4.7449686780018965,2314.814911165294,54.79488225188577
